"","men"
"women",0.29
"wear",0.16
"dress",0.11
"currency",0.1
"respect",0.1
"visas",0.1
"young",0.1
"ask",0.09
"drivers",0.09
"fifty",0.09
"money",0.09
"since",0.09
"visa",0.09
"always",0.08
"avoid",0.08
"calendar",0.08
"cards",0.08
"citizens",0.08
"clothing",0.08
"countries",0.08
"embassy",0.08
"exchange",0.08
"first",0.08
"foreign",0.08
"generally",0.08
"know",0.08
"offices",0.08
"pay",0.08
"people",0.08
"police",0.08
"political",0.08
"prove",0.08
"rate",0.08
"widely",0.08
"work",0.08
"able",0.07
"allowed",0.07
"boys",0.07
"buy",0.07
"carry",0.07
"common",0.07
"dollars",0.07
"even",0.07
"expected",0.07
"given",0.07
"keep",0.07
"may",0.07
"meat",0.07
"officers",0.07
"order",0.07
"passport",0.07
"prepaid",0.07
"sell",0.07
"trying",0.07
"working",0.07
"worn",0.07
