"","metro"
"louis",0.15
"mall",0.12
"moscow",0.12
"center",0.11
"shopping",0.11
"suburban",0.11
"angeles",0.1
"business",0.1
"downtown",0.1
"lines",0.1
"malls",0.1
"subway",0.1
"system",0.1
"terminals",0.1
"upscale",0.1
"avenue",0.09
"line",0.09
"plaza",0.09
"stadium",0.09
"stations",0.09
"transit",0.09
"urban",0.09
"america",0.08
"american",0.08
"boulevard",0.08
"cities",0.08
"east-west",0.08
"f-sa",0.08
"fares",0.08
"financial",0.08
"locations",0.08
"marriott",0.08
"million",0.08
"station",0.08
"suburb",0.08
"suburbs",0.08
"traffic",0.08
"university",0.08
"washington",0.08
"ave",0.07
"branch",0.07
"card",0.07
"chain",0.07
"corner",0.07
"crime",0.07
"districts",0.07
"pound",0.07
"rapid",0.07
"routes",0.07
"rush",0.07
"shuttle",0.07
"york",0.07
