"","military"
"civilian",0.18
"personnel",0.17
"war",0.17
"soldiers",0.14
"army",0.13
"academy",0.12
"possession",0.12
"base",0.11
"civil",0.11
"defense",0.11
"forces",0.11
"citizens",0.1
"force",0.1
"history",0.1
"political",0.1
"soviet",0.1
"american",0.09
"armed",0.09
"british",0.09
"cemetery",0.09
"conflict",0.09
"foreign",0.09
"former",0.09
"government",0.09
"restricted",0.09
"situation",0.09
"united",0.09
"battle",0.08
"control",0.08
"controlled",0.08
"insurance",0.08
"naval",0.08
"presence",0.08
"russian",0.08
"security",0.08
"states",0.08
"support",0.08
"territory",0.08
"troops",0.08
"used",0.08
"world",0.08
"attacks",0.07
"countries",0.07
"embassies",0.07
"officers",0.07
"passport",0.07
"since",0.07
"site",0.07
"strongly",0.07
"un",0.07
