"","milk"
"coconut",0.16
"made",0.13
"cooked",0.12
"juice",0.12
"soup",0.12
"dish",0.11
"eaten",0.11
"rice",0.11
"spicy",0.11
"sweet",0.11
"cheese",0.1
"dairy",0.1
"goat",0.1
"meat",0.1
"sour",0.1
"spices",0.1
"boiled",0.09
"brands",0.09
"butter",0.09
"fermented",0.09
"flour",0.09
"fried",0.09
"pork",0.09
"raw",0.09
"sauce",0.09
"taste",0.09
"tastes",0.09
"wrapped",0.09
"fresh",0.08
"fruits",0.08
"mixed",0.08
"sugar",0.08
"thick",0.08
"camel",0.07
"drink",0.07
"egg",0.07
"fruit",0.07
"lemon",0.07
"like",0.07
"products",0.07
"sim",0.07
"steamed",0.07
"tea",0.07
"tipping",0.07
"vegetables",0.07
"yogurt",0.07
