"","monastery"
"monks",0.27
"orthodox",0.18
"tibetan",0.18
"buddhist",0.16
"century",0.16
"church",0.16
"frescoes",0.16
"moscow",0.14
"holy",0.13
"russian",0.13
"churches",0.12
"fortress",0.12
"founded",0.11
"soviet",0.11
"built",0.1
"rebuilt",0.1
"religious",0.1
"abbey",0.09
"ancient",0.09
"convent",0.09
"icon",0.09
"trinity",0.09
"baroque",0.08
"byzantine",0.08
"cathedral",0.08
"cave",0.08
"complex",0.08
"fortified",0.08
"nicholas",0.08
"prayer",0.08
"saint",0.08
"spiritual",0.08
"virgin",0.08
"destroyed",0.07
"michael",0.07
"polish",0.07
"russia",0.07
