"","money"
"exchange",0.25
"pay",0.21
"atms",0.2
"currency",0.2
"visa",0.2
"accept",0.19
"ask",0.18
"avoid",0.18
"drivers",0.18
"save",0.18
"dollars",0.17
"expensive",0.17
"passport",0.17
"police",0.17
"price",0.17
"always",0.16
"cards",0.16
"cash",0.16
"driver",0.16
"embassy",0.16
"foreign",0.16
"give",0.16
"rate",0.16
"visas",0.16
"want",0.16
"asking",0.15
"atm",0.15
"better",0.15
"buy",0.15
"card",0.15
"change",0.15
"charge",0.15
"countries",0.15
"credit",0.15
"expect",0.15
"keep",0.15
"know",0.15
"might",0.15
"paying",0.15
"prices",0.15
"sure",0.15
"will",0.15
"buying",0.14
"cheaper",0.14
"cost",0.14
"even",0.14
"find",0.14
"help",0.14
"make",0.14
"notes",0.14
"paid",0.14
"problem",0.14
"refuse",0.14
"try",0.14
"usually",0.14
"accepted",0.13
"anything",0.13
"aware",0.13
"careful",0.13
"carry",0.13
"cheap",0.13
"common",0.13
"generally",0.13
"illegal",0.13
"insist",0.13
"may",0.13
"need",0.13
"often",0.13
"people",0.13
"say",0.13
"sim",0.13
"someone",0.13
"sometimes",0.13
"value",0.13
"without",0.13
"'re",0.12
"asked",0.12
"bills",0.12
"citizens",0.12
"drinks",0.12
"especially",0.12
"fee",0.12
"foreigners",0.12
"internet",0.12
"least",0.12
"leave",0.12
"likely",0.12
"locals",0.12
"negotiate",0.12
"never",0.12
"offer",0.12
"prepaid",0.12
"safe",0.12
"security",0.12
"sell",0.12
"stay",0.12
"tipping",0.12
"unless",0.12
"use",0.12
"wait",0.12
"able",0.11
"already",0.11
"amount",0.11
"apply",0.11
"arrival",0.11
"bank",0.11
"beware",0.11
"bit",0.11
"bring",0.11
"care",0.11
"cases",0.11
"check",0.11
"coins",0.11
"crime",0.11
"customs",0.11
"deal",0.11
"drugs",0.11
"english",0.11
"extra",0.11
"get",0.11
"getting",0.11
"government",0.11
"hand",0.11
"higher",0.11
"idea",0.11
"like",0.11
"luggage",0.11
"mind",0.11
"much",0.11
"night",0.11
"normally",0.11
"note",0.11
"obtain",0.11
"offices",0.11
"official",0.11
"prepared",0.11
"remember",0.11
"reports",0.11
"require",0.11
"risk",0.11
"simply",0.11
"speak",0.11
"tend",0.11
"ticket",0.11
"tourists",0.11
"touts",0.11
"trying",0.11
"using",0.11
"valid",0.11
