"","monument"
"erected",0.12
"victory",0.12
"bronze",0.1
"building",0.1
"built",0.1
"monuments",0.1
"soviet",0.1
"war",0.1
"baroque",0.09
"cemetery",0.09
"church",0.09
"memorial",0.09
"memory",0.09
"museum",0.09
"army",0.08
"blood",0.08
"catholic",0.08
"collection",0.08
"drama",0.08
"exhibition",0.08
"history",0.08
"national",0.08
"palace",0.08
"rebuilt",0.08
"russian",0.08
"site",0.08
"soldiers",0.08
"square",0.08
"statue",0.08
"battle",0.07
"cathedral",0.07
"died",0.07
"former",0.07
"sculpture",0.07
