"","motel"
"inn",0.24
"phone",0.22
"st",0.21
"ave",0.18
"highway",0.18
"rv",0.18
"motor",0.16
"hwy",0.15
"rd",0.14
"street",0.13
"interstate",0.12
"lodge",0.12
"pets",0.12
"us",0.12
"avenue",0.1
"campground",0.1
"dr",0.1
"miles",0.1
"motels",0.1
"restaurant",0.1
"bed",0.09
"creek",0.09
"grill",0.09
"north",0.09
"park",0.09
"railroad",0.09
"state",0.09
"store",0.09
"units",0.09
"west",0.09
"antique",0.08
"antiques",0.08
"diner",0.08
"east",0.08
"outdoor",0.08
"route",0.08
"south",0.08
"wireless",0.08
"broadway",0.07
"chamber",0.07
"county",0.07
"drive",0.07
"exit",0.07
"gift",0.07
"golf",0.07
"lake",0.07
"mexican",0.07
"signage",0.07
"steakhouse",0.07
"tu-sa",0.07
