"","native"
"american",0.19
"americans",0.14
"language",0.12
"speakers",0.12
"national",0.1
"speak",0.1
"states",0.1
"natives",0.09
"spanish",0.09
"spoken",0.09
"state",0.09
"tribe",0.09
"united",0.09
"areas",0.08
"casino",0.08
"common",0.08
"culture",0.08
"indigenous",0.08
"majority",0.08
"often",0.08
"people",0.08
"plants",0.08
"settlers",0.08
"species",0.08
"state's",0.08
"zealand",0.08
"bush",0.07
"ethnic",0.07
"languages",0.07
"pacific",0.07
"required",0.07
"sound",0.07
"tribes",0.07
"widely",0.07
"wildlife",0.07
