"","new"
"york",0.41
"jersey",0.23
"'''new",0.18
"ny",0.18
"zealand",0.17
"liberty",0.14
"england",0.13
"kennedy",0.13
"congestion",0.12
"route",0.12
"service",0.12
"state",0.12
"american",0.11
"boston",0.11
"fares",0.11
"historic",0.11
"street",0.11
"penn",0.1
"south",0.1
"township",0.1
"transit",0.1
"united",0.1
"baseball",0.09
"brand",0.09
"business",0.09
"college",0.09
"downtown",0.09
"first",0.09
"interstate",0.09
"live",0.09
"major",0.09
"mall",0.09
"mexico",0.09
"opened",0.09
"rd",0.09
"shopping",0.09
"states",0.09
"sydney",0.09
"areas",0.08
"art",0.08
"arts",0.08
"avenue",0.08
"cabs",0.08
"cars",0.08
"classic",0.08
"county",0.08
"diner",0.08
"dining",0.08
"exit",0.08
"food",0.08
"including",0.08
"inn",0.08
"italian",0.08
"john",0.08
"league",0.08
"nation's",0.08
"now",0.08
"offers",0.08
"parkway",0.08
"phone",0.08
"pizza",0.08
"railroad",0.08
"recently",0.08
"stores",0.08
"throughout",0.08
"university",0.08
"amtrak",0.07
"authority",0.07
"city's",0.07
"club",0.07
"features",0.07
"finger",0.07
"great",0.07
"haven",0.07
"home",0.07
"memorial",0.07
"menu",0.07
"much",0.07
"offer",0.07
"open",0.07
"register",0.07
"retail",0.07
"rt",0.07
"three",0.07
"variety",0.07
