"","nice"
"good",0.22
"place",0.19
"friendly",0.17
"really",0.17
"'s",0.16
"go",0.16
"try",0.16
"walk",0.16
"bit",0.15
"find",0.15
"little",0.15
"rooms",0.15
"clean",0.14
"food",0.14
"get",0.14
"prices",0.14
"quite",0.14
"restaurant",0.14
"want",0.14
"ask",0.13
"best",0.13
"can",0.13
"cheap",0.13
"lots",0.13
"right",0.13
"staff",0.13
"view",0.13
"decent",0.12
"excellent",0.12
"expensive",0.12
"hotel",0.12
"might",0.12
"price",0.12
"will",0.12
"worth",0.12
"'ll",0.11
"'re",0.11
"always",0.11
"atmosphere",0.11
"bar",0.11
"better",0.11
"costs",0.11
"crowded",0.11
"great",0.11
"just",0.11
"look",0.11
"lot",0.11
"make",0.11
"next",0.11
"night",0.11
"owner",0.11
"around",0.1
"bars",0.1
"big",0.1
"dishes",0.1
"double",0.1
"helpful",0.1
"hostel",0.1
"like",0.1
"old",0.1
"pay",0.1
"places",0.1
"pool",0.1
"quiet",0.1
"rather",0.1
"reasonable",0.1
"rent",0.1
"room",0.1
"see",0.1
"sit",0.1
"sure",0.1
"take",0.1
"tasty",0.1
"terrace",0.1
"way",0.1
"also",0.09
"bathroom",0.09
"beautiful",0.09
"beer",0.09
"behind",0.09
"budget",0.09
"buy",0.09
"cheaper",0.09
"close",0.09
"cost",0.09
"couple",0.09
"definitely",0.09
"delicious",0.09
"drink",0.09
"drinks",0.09
"eat",0.09
"enjoy",0.09
"even",0.09
"free",0.09
"front",0.09
"internet",0.09
"lovely",0.09
"lunch",0.09
"noisy",0.09
"option",0.09
"per",0.09
"pretty",0.09
"probably",0.09
"small",0.09
"top",0.09
"wifi",0.09
"amazing",0.08
"away",0.08
"back",0.08
"balcony",0.08
"blocks",0.08
"breakfast",0.08
"bus",0.08
"cheapest",0.08
"coffee",0.08
"come",0.08
"different",0.08
"driver",0.08
"especially",0.08
"every",0.08
"expect",0.08
"feel",0.08
"floor",0.08
"going",0.08
"hotels",0.08
"hour",0.08
"inside",0.08
"kitchen",0.08
"locals",0.08
"looking",0.08
"makes",0.08
"meal",0.08
"menu",0.08
"money",0.08
"much",0.08
"music",0.08
"need",0.08
"nicest",0.08
"outside",0.08
"people",0.08
"pleasant",0.08
"quality",0.08
"relax",0.08
"ride",0.08
"selection",0.08
"serves",0.08
"shops",0.08
"side",0.08
"something",0.08
"sometimes",0.08
"spend",0.08
"style",0.08
"taxi",0.08
"taxis",0.08
"ticket",0.08
"trip",0.08
"views",0.08
"walking",0.08
"watch",0.08
"another",0.07
"arrange",0.07
"buses",0.07
"check",0.07
"cocktails",0.07
"day",0.07
"dorm",0.07
"dorms",0.07
"entrance",0.07
"evening",0.07
"fee",0.07
"fresh",0.07
"gets",0.07
"give",0.07
"hot",0.07
"maybe",0.07
"meat",0.07
"minutes",0.07
"modern",0.07
"near",0.07
"nightlife",0.07
"office",0.07
"opposite",0.07
"pizzas",0.07
"rooftop",0.07
"run",0.07
"sell",0.07
"shared",0.07
"simple",0.07
"speaks",0.07
"standard",0.07
"stay",0.07
"things",0.07
"tickets",0.07
"time",0.07
"tourist",0.07
"typical",0.07
"usually",0.07
"visit",0.07
"whole",0.07
"wonderful",0.07
"young",0.07
