"","north"
"south",0.28
"east",0.21
"miles",0.19
"west",0.19
"highway",0.16
"'''north",0.15
"phone",0.15
"state",0.13
"street",0.13
"county",0.12
"inn",0.12
"us",0.12
"downtown",0.11
"exit",0.11
"hwy",0.11
"interstate",0.11
"park",0.11
"runs",0.11
"drive",0.1
"ave",0.09
"avenue",0.09
"coast",0.09
"lake",0.09
"mile",0.09
"motel",0.09
"northern",0.09
"shore",0.09
"st",0.09
"area",0.08
"features",0.08
"historic",0.08
"railroad",0.08
"rd",0.08
"scenic",0.08
"along",0.07
"arts",0.07
"canada",0.07
"greyhound",0.07
"just",0.07
"outdoor",0.07
"route",0.07
"rv",0.07
"united",0.07
