"","novprecip"
"aprprecip",0.97
"augprecip",0.97
"decprecip",0.97
"febprecip",0.97
"janprecip",0.97
"julprecip",0.97
"junprecip",0.97
"marprecip",0.97
"octprecip",0.97
"sepprecip",0.97
"mayprecip",0.96
"aprhigh",0.95
"aprlow",0.95
"aughigh",0.95
"auglow",0.95
"dechigh",0.95
"declow",0.95
"febhigh",0.95
"feblow",0.95
"janlow",0.95
"julhigh",0.95
"jullow",0.95
"junhigh",0.95
"junlow",0.95
"marhigh",0.95
"mayhigh",0.95
"novhigh",0.95
"novlow",0.95
"octhigh",0.95
"octlow",0.95
"sephigh",0.95
"seplow",0.95
"janhigh",0.94
"maylow",0.94
"marlow",0.87
"metric",0.81
"units",0.5
"everyday",0.13
"city's",0.1
"climate",0.1
"dragon",0.1
"average",0.09
"drivers",0.08
"egyptian",0.08
"flights",0.08
"generally",0.08
"imperial",0.08
"paved",0.08
"tickets",0.08
"uses",0.08
"winters",0.08
"charges",0.07
"communist",0.07
"leave",0.07
