"","now"
"still",0.16
"used",0.15
"former",0.14
"building",0.13
"built",0.13
"original",0.12
"century",0.11
"originally",0.11
"became",0.1
"early",0.1
"first",0.1
"formerly",0.1
"later",0.1
"numbers",0.1
"old",0.1
"years",0.1
"although",0.09
"become",0.09
"closed",0.09
"late",0.09
"modern",0.09
"number",0.09
"opened",0.09
"part",0.09
"recent",0.09
"remains",0.09
"second",0.09
"signage",0.09
"since",0.09
"began",0.08
"british",0.08
"buildings",0.08
"code",0.08
"founded",0.08
"government",0.08
"history",0.08
"houses",0.08
"known",0.08
"last",0.08
"longer",0.08
"moved",0.08
"much",0.08
"new",0.08
"often",0.08
"oldest",0.08
"recently",0.08
"started",0.08
"took",0.08
"war",0.08
"work",0.08
"almost",0.07
"bank",0.07
"church",0.07
"city's",0.07
"converted",0.07
"countries",0.07
"especially",0.07
"european",0.07
"glory",0.07
"huge",0.07
"long",0.07
"mostly",0.07
"restored",0.07
"roman",0.07
"tower",0.07
