"","number"
"large",0.16
"although",0.14
"including",0.13
"generally",0.12
"may",0.12
"often",0.12
"especially",0.11
"numbers",0.11
"range",0.11
"well",0.11
"around",0.1
"bars",0.1
"code",0.1
"depending",0.1
"even",0.1
"hotels",0.1
"many",0.1
"note",0.1
"outside",0.1
"shops",0.1
"smaller",0.1
"tend",0.1
"tourist",0.1
"variety",0.1
"almost",0.09
"also",0.09
"always",0.09
"centre",0.09
"cities",0.09
"common",0.09
"companies",0.09
"drivers",0.09
"english",0.09
"european",0.09
"expect",0.09
"expensive",0.09
"found",0.09
"good",0.09
"include",0.09
"now",0.09
"pay",0.09
"popular",0.09
"prices",0.09
"pubs",0.09
"quality",0.09
"quite",0.09
"still",0.09
"though",0.09
"throughout",0.09
"will",0.09
"within",0.09
"area",0.08
"areas",0.08
"available",0.08
"avoid",0.08
"brands",0.08
"call",0.08
"cheaper",0.08
"check",0.08
"clubs",0.08
"different",0.08
"drink",0.08
"driver",0.08
"due",0.08
"every",0.08
"fairly",0.08
"find",0.08
"food",0.08
"foreign",0.08
"high",0.08
"higher",0.08
"huge",0.08
"increasing",0.08
"larger",0.08
"limited",0.08
"local",0.08
"majority",0.08
"market",0.08
"modern",0.08
"mostly",0.08
"much",0.08
"night",0.08
"offer",0.08
"operate",0.08
"parts",0.08
"places",0.08
"police",0.08
"probably",0.08
"provide",0.08
"public",0.08
"rather",0.08
"recent",0.08
"regular",0.08
"relatively",0.08
"requires",0.08
"routes",0.08
"services",0.08
"short",0.08
"sometimes",0.08
"streets",0.08
"students",0.08
"telephone",0.08
"ticket",0.08
"tourists",0.08
"travel",0.08
"use",0.08
"used",0.08
"using",0.08
"usually",0.08
"wide",0.08
"without",0.08
"worth",0.08
"addition",0.07
"among",0.07
"another",0.07
"aware",0.07
"become",0.07
"beer",0.07
"better",0.07
"book",0.07
"cafes",0.07
"cards",0.07
"charge",0.07
"cheap",0.07
"cost",0.07
"easily",0.07
"either",0.07
"end",0.07
"fast",0.07
"highly",0.07
"however",0.07
"just",0.07
"late",0.07
"least",0.07
"less",0.07
"make",0.07
"must",0.07
"need",0.07
"option",0.07
"options",0.07
"others",0.07
"particular",0.07
"passengers",0.07
"price",0.07
"recently",0.07
"serve",0.07
"shopping",0.07
"slightly",0.07
"stalls",0.07
"standard",0.07
"sure",0.07
"system",0.07
"tickets",0.07
"time",0.07
"times",0.07
"travellers",0.07
"two",0.07
"typically",0.07
"university",0.07
"valid",0.07
"visitors",0.07
"work",0.07
