"","numbers"
"code",0.27
"dial",0.22
"signage",0.22
"telephone",0.21
"consist",0.18
"requires",0.17
"cards",0.15
"avoid",0.14
"call",0.14
"businesses",0.13
"mobile",0.12
"prepaid",0.12
"accept",0.11
"card",0.11
"common",0.11
"display",0.11
"drivers",0.11
"embassy",0.11
"illegal",0.11
"may",0.11
"notes",0.11
"number",0.11
"often",0.11
"phones",0.11
"sim",0.11
"still",0.11
"tipping",0.11
"apply",0.1
"bills",0.1
"coins",0.1
"countries",0.1
"credit",0.1
"currency",0.1
"entire",0.1
"exchange",0.1
"foreign",0.1
"generally",0.1
"least",0.1
"license",0.1
"normally",0.1
"now",0.1
"offices",0.1
"passport",0.1
"plus",0.1
"problem",0.1
"sometimes",0.1
"usually",0.1
"visa",0.1
"visas",0.1
"accepted",0.09
"allowed",0.09
"always",0.09
"area",0.09
"calling",0.09
"calls",0.09
"certain",0.09
"charge",0.09
"citizens",0.09
"despite",0.09
"emergency",0.09
"especially",0.09
"even",0.09
"february",0.09
"increasing",0.09
"insurance",0.09
"keep",0.09
"know",0.09
"leading",0.09
"money",0.09
"passengers",0.09
"pay",0.09
"paying",0.09
"payment",0.09
"police",0.09
"rate",0.09
"rules",0.09
"second",0.09
"traffic",0.09
"use",0.09
"widely",0.09
"without",0.09
"work",0.09
"advance",0.08
"alcohol",0.08
"almost",0.08
"although",0.08
"among",0.08
"anyone",0.08
"applies",0.08
"ask",0.08
"atms",0.08
"buying",0.08
"careful",0.08
"carry",0.08
"case",0.08
"cash",0.08
"charged",0.08
"cheaper",0.08
"consider",0.08
"days",0.08
"debit",0.08
"difficult",0.08
"driver",0.08
"due",0.08
"english",0.08
"expensive",0.08
"extremely",0.08
"find",0.08
"following",0.08
"found",0.08
"gsm",0.08
"higher",0.08
"id",0.08
"larger",0.08
"legal",0.08
"means",0.08
"medical",0.08
"might",0.08
"mind",0.08
"must",0.08
"need",0.08
"officers",0.08
"official",0.08
"overseas",0.08
"passports",0.08
"policy",0.08
"price",0.08
"put",0.08
"rarely",0.08
"refuse",0.08
"require",0.08
"risk",0.08
"rule",0.08
"sales",0.08
"security",0.08
"smaller",0.08
"speak",0.08
"sure",0.08
"tend",0.08
"unlike",0.08
"unlikely",0.08
"using",0.08
"valid",0.08
"vast",0.08
"widespread",0.08
"willing",0.08
"accident",0.07
"add",0.07
"allow",0.07
"buy",0.07
"care",0.07
"check",0.07
"companies",0.07
"crowded",0.07
"drugs",0.07
"eu",0.07
"expect",0.07
"expected",0.07
"fixed",0.07
"form",0.07
"given",0.07
"help",0.07
"increased",0.07
"insist",0.07
"issue",0.07
"issued",0.07
"language",0.07
"letter",0.07
"likely",0.07
"local",0.07
"majority",0.07
"make",0.07
"meat",0.07
"ministry",0.07
"names",0.07
"nationals",0.07
"network",0.07
"never",0.07
"obtain",0.07
"operators",0.07
"purchase",0.07
"respect",0.07
"signs",0.07
"similar",0.07
"ticket",0.07
"travellers",0.07
"trying",0.07
"unsafe",0.07
"violent",0.07
"wear",0.07
"whether",0.07
