"","obtained"
"visas",0.2
"visa",0.17
"obtain",0.14
"embassy",0.13
"currency",0.12
"countries",0.11
"permit",0.11
"required",0.11
"apply",0.1
"require",0.1
"citizens",0.09
"exchange",0.09
"must",0.09
"passport",0.09
"rate",0.09
"valid",0.09
"accepted",0.08
"arrival",0.08
"cash",0.08
"consulate",0.08
"dollars",0.08
"enter",0.08
"foreign",0.08
"illegal",0.08
"insurance",0.08
"issued",0.08
"money",0.08
"pages",0.08
"permission",0.08
"permits",0.08
"accept",0.07
"avoid",0.07
"cards",0.07
"embassies",0.07
"government",0.07
"nationals",0.07
"notes",0.07
"payment",0.07
