"","ocean"
"beach",0.26
"atlantic",0.21
"pacific",0.19
"surf",0.18
"bay",0.17
"seafood",0.16
"beaches",0.15
"boardwalk",0.15
"coast",0.14
"beach'''",0.13
"surfing",0.13
"vacation",0.13
"beachfront",0.12
"tropical",0.12
"whales",0.12
"coastal",0.11
"fishing",0.11
"island",0.11
"waves",0.11
"whale",0.11
"cape",0.1
"palm",0.1
"rentals",0.1
"sand",0.1
"deck",0.09
"diving",0.09
"dolphins",0.09
"harbor",0.09
"inlet",0.09
"lobster",0.09
"marine",0.09
"reef",0.09
"rental",0.09
"resort",0.09
"sandy",0.09
"scuba",0.09
"shark",0.09
"snorkeling",0.09
"surfers",0.09
"bedroom",0.08
"cove",0.08
"dive",0.08
"fish",0.08
"fresh",0.08
"great",0.08
"islands",0.08
"lighthouse",0.08
"pier",0.08
"point",0.08
"private",0.08
"sea",0.08
"sunset",0.08
"views",0.08
"villas",0.08
"casual",0.07
"coastline",0.07
"divers",0.07
"pristine",0.07
"turtle",0.07
