"","offer"
"offers",0.25
"companies",0.16
"variety",0.16
"even",0.15
"prices",0.15
"always",0.14
"expensive",0.14
"find",0.14
"hotels",0.14
"offering",0.14
"often",0.14
"price",0.14
"usually",0.14
"areas",0.13
"ask",0.13
"bars",0.13
"experience",0.13
"make",0.13
"many",0.13
"may",0.13
"night",0.13
"pay",0.13
"popular",0.13
"range",0.13
"rental",0.13
"sure",0.13
"wide",0.13
"will",0.13
"accept",0.12
"another",0.12
"available",0.12
"best",0.12
"different",0.12
"drivers",0.12
"enjoy",0.12
"especially",0.12
"excellent",0.12
"expect",0.12
"food",0.12
"friendly",0.12
"generally",0.12
"looking",0.12
"money",0.12
"private",0.12
"quality",0.12
"rent",0.12
"service",0.12
"sometimes",0.12
"try",0.12
"want",0.12
"well",0.12
"avoid",0.11
"better",0.11
"cabs",0.11
"cars",0.11
"cheap",0.11
"cheaper",0.11
"check",0.11
"common",0.11
"congestion",0.11
"day",0.11
"fares",0.11
"free",0.11
"give",0.11
"good",0.11
"great",0.11
"include",0.11
"including",0.11
"keep",0.11
"like",0.11
"locations",0.11
"look",0.11
"much",0.11
"offered",0.11
"operators",0.11
"places",0.11
"shops",0.11
"shuttle",0.11
"something",0.11
"stay",0.11
"taxi",0.11
"tend",0.11
"tourists",0.11
"tours",0.11
"trips",0.11
"without",0.11
"'re",0.1
"activities",0.1
"agencies",0.1
"allow",0.1
"also",0.1
"although",0.1
"budget",0.1
"can",0.1
"choose",0.1
"coffee",0.1
"come",0.1
"cost",0.1
"courses",0.1
"depending",0.1
"dining",0.1
"dishes",0.1
"dollars",0.1
"drinks",0.1
"everything",0.1
"exchange",0.1
"found",0.1
"fresh",0.1
"full",0.1
"fun",0.1
"help",0.1
"internet",0.1
"just",0.1
"know",0.1
"least",0.1
"less",0.1
"little",0.1
"locals",0.1
"lunch",0.1
"menu",0.1
"might",0.1
"need",0.1
"note",0.1
"options",0.1
"others",0.1
"outdoor",0.1
"people",0.1
"pick",0.1
"prepared",0.1
"provide",0.1
"rates",0.1
"selection",0.1
"sell",0.1
"serve",0.1
"staff",0.1
"staying",0.1
"though",0.1
"throughout",0.1
"tour",0.1
"travel",0.1
"two",0.1
"typically",0.1
"use",0.1
"views",0.1
"visitors",0.1
"'ll",0.09
"access",0.09
"affordable",0.09
"almost",0.09
"anything",0.09
"anywhere",0.09
"atmosphere",0.09
"authentic",0.09
"aware",0.09
"back",0.09
"bar",0.09
"beaches",0.09
"become",0.09
"beer",0.09
"bit",0.09
"blue",0.09
"book",0.09
"buy",0.09
"cafes",0.09
"call",0.09
"card",0.09
"cards",0.09
"charge",0.09
"choice",0.09
"close",0.09
"clubs",0.09
"cocktails",0.09
"crowded",0.09
"cuisine",0.09
"delicious",0.09
"dinner",0.09
"drink",0.09
"driver",0.09
"driving",0.09
"easy",0.09
"either",0.09
"feel",0.09
"guests",0.09
"guide",0.09
"high",0.09
"highly",0.09
"idea",0.09
"includes",0.09
"list",0.09
"live",0.09
"local",0.09
"long",0.09
"low",0.09
"luxury",0.09
"meal",0.09
"mind",0.09
"must",0.09
"online",0.09
"open",0.09
"option",0.09
"order",0.09
"outside",0.09
"party",0.09
"paying",0.09
"per",0.09
"perfect",0.09
"plan",0.09
"plenty",0.09
"pool",0.09
"purchase",0.09
"quiet",0.09
"quite",0.09
"rate",0.09
"regular",0.09
"rentals",0.09
"require",0.09
"resorts",0.09
"ride",0.09
"room",0.09
"rooms",0.09
"safe",0.09
"season",0.09
"several",0.09
"simply",0.09
"special",0.09
"spend",0.09
"stores",0.09
"style",0.09
"three",0.09
"time",0.09
"tourist",0.09
"unique",0.09
"various",0.09
"whether",0.09
"worth",0.09
"able",0.08
"addition",0.08
"additional",0.08
"advance",0.08
"adventures",0.08
"afternoon",0.08
"among",0.08
"area",0.08
"around",0.08
"arrange",0.08
"array",0.08
"based",0.08
"beautiful",0.08
"beginners",0.08
"beware",0.08
"boat",0.08
"booking",0.08
"bottle",0.08
"breakfast",0.08
"bring",0.08
"busy",0.08
"care",0.08
"carry",0.08
"cash",0.08
"cater",0.08
"class",0.08
"classes",0.08
"clean",0.08
"compared",0.08
"complete",0.08
"credit",0.08
"crowd",0.08
"cruises",0.08
"currency",0.08
"customers",0.08
"days",0.08
"diving",0.08
"english",0.08
"equipped",0.08
"european",0.08
"every",0.08
"extra",0.08
"extremely",0.08
"family",0.08
"fee",0.08
"front",0.08
"fully",0.08
"getting",0.08
"happy",0.08
"hard",0.08
"helpful",0.08
"higher",0.08
"host",0.08
"hot",0.08
"however",0.08
"huge",0.08
"insurance",0.08
"italian",0.08
"kennedy",0.08
"large",0.08
"larger",0.08
"leave",0.08
"let",0.08
"license",0.08
"likely",0.08
"lots",0.08
"lounge",0.08
"meals",0.08
"mobile",0.08
"multiple",0.08
"music",0.08
"never",0.08
"next",0.08
"number",0.08
"offices",0.08
"organize",0.08
"person",0.08
"police",0.08
"purchased",0.08
"purchasing",0.08
"rarely",0.08
"recently",0.08
"remember",0.08
"rides",0.08
"right",0.08
"services",0.08
"set",0.08
"shopping",0.08
"short",0.08
"simple",0.08
"since",0.08
"sit",0.08
"sites",0.08
"slightly",0.08
"smaller",0.08
"spacious",0.08
"standard",0.08
"start",0.08
"streets",0.08
"swimming",0.08
"taxis",0.08
"tickets",0.08
"tips",0.08
"top",0.08
"trip",0.08
"types",0.08
"upscale",0.08
"value",0.08
"vary",0.08
"vendors",0.08
"wait",0.08
"waiting",0.08
"walking",0.08
"watch",0.08
"water",0.08
"white",0.08
"wi-fi",0.08
"willing",0.08
"wine",0.08
"within",0.08
"work",0.08
"young",0.08
"air",0.07
"alcohol",0.07
"amazing",0.07
"american",0.07
"asian",0.07
"away",0.07
"bags",0.07
"boats",0.07
"booked",0.07
"buying",0.07
"cheapest",0.07
"company",0.07
"consider",0.07
"countries",0.07
"dance",0.07
"deal",0.07
"definitely",0.07
"difficult",0.07
"directly",0.07
"discount",0.07
"due",0.07
"eat",0.07
"equipment",0.07
"features",0.07
"fine",0.07
"first",0.07
"go",0.07
"guides",0.07
"inclusive",0.07
"individual",0.07
"instead",0.07
"items",0.07
"late",0.07
"learn",0.07
"liberty",0.07
"machines",0.07
"major",0.07
"making",0.07
"mix",0.07
"morning",0.07
"new",0.07
"nightlife",0.07
"normally",0.07
"numerous",0.07
"official",0.07
"passengers",0.07
"place",0.07
"playing",0.07
"please",0.07
"put",0.07
"ranging",0.07
"reasonable",0.07
"recent",0.07
"relatively",0.07
"relaxed",0.07
"safety",0.07
"save",0.07
"secluded",0.07
"security",0.07
"see",0.07
"seem",0.07
"shop",0.07
"sim",0.07
"similar",0.07
"someone",0.07
"speed",0.07
"sports",0.07
"surprised",0.07
"system",0.07
"ticket",0.07
"tipping",0.07
"tropical",0.07
"trying",0.07
"typical",0.07
"using",0.07
"valid",0.07
"valuables",0.07
"visit",0.07
"visiting",0.07
"way",0.07
"whole",0.07
"women",0.07
"yellow",0.07
