"","offers"
"offer",0.25
"variety",0.2
"dining",0.18
"offering",0.16
"free",0.15
"selection",0.15
"bar",0.14
"great",0.14
"menu",0.14
"outdoor",0.14
"restaurant",0.14
"rooms",0.14
"wide",0.14
"breakfast",0.13
"excellent",0.13
"features",0.13
"friendly",0.13
"full",0.13
"including",0.13
"located",0.13
"private",0.13
"service",0.13
"views",0.13
"activities",0.12
"amenities",0.12
"atmosphere",0.12
"downtown",0.12
"lunch",0.12
"open",0.12
"pool",0.12
"range",0.12
"tours",0.12
"well",0.12
"available",0.11
"cuisine",0.11
"dinner",0.11
"enjoy",0.11
"experience",0.11
"family",0.11
"food",0.11
"fresh",0.11
"guests",0.11
"homemade",0.11
"include",0.11
"indoor",0.11
"italian",0.11
"live",0.11
"music",0.11
"rental",0.11
"room",0.11
"shopping",0.11
"shuttle",0.11
"throughout",0.11
"unique",0.11
"affordable",0.1
"american",0.1
"best",0.1
"boutique",0.1
"casual",0.1
"club",0.1
"courses",0.1
"equipped",0.1
"events",0.1
"favorite",0.1
"featuring",0.1
"fine",0.1
"fun",0.1
"golf",0.1
"internet",0.1
"lounge",0.1
"luxury",0.1
"night",0.1
"popular",0.1
"prices",0.1
"quality",0.1
"rentals",0.1
"serves",0.1
"shop",0.1
"sports",0.1
"style",0.1
"suites",0.1
"swimming",0.1
"view",0.1
"visitors",0.1
"areas",0.09
"array",0.09
"authentic",0.09
"bars",0.09
"call",0.09
"classic",0.09
"cocktail",0.09
"coffee",0.09
"congestion",0.09
"delicious",0.09
"dishes",0.09
"drinks",0.09
"fitness",0.09
"gourmet",0.09
"happy",0.09
"heart",0.09
"hotel",0.09
"includes",0.09
"locations",0.09
"looking",0.09
"movie",0.09
"offered",0.09
"options",0.09
"parking",0.09
"patio",0.09
"perfect",0.09
"pizza",0.09
"provides",0.09
"sandwiches",0.09
"seafood",0.09
"spacious",0.09
"specials",0.09
"specialty",0.09
"staff",0.09
"staying",0.09
"stores",0.09
"trails",0.09
"upscale",0.09
"wireless",0.09
"access",0.08
"addition",0.08
"also",0.08
"amazing",0.08
"area",0.08
"art",0.08
"arts",0.08
"beer",0.08
"buffet",0.08
"business",0.08
"center",0.08
"choice",0.08
"choose",0.08
"classes",0.08
"clothing",0.08
"company",0.08
"complete",0.08
"course",0.08
"cozy",0.08
"daily",0.08
"deli",0.08
"delivery",0.08
"different",0.08
"everything",0.08
"facilities",0.08
"fares",0.08
"game",0.08
"gift",0.08
"grill",0.08
"guest",0.08
"guided",0.08
"house",0.08
"ice",0.08
"just",0.08
"location",0.08
"lodge",0.08
"mall",0.08
"many",0.08
"mexican",0.08
"new",0.08
"nightly",0.08
"owned",0.08
"park",0.08
"pasta",0.08
"play",0.08
"property",0.08
"public",0.08
"ranging",0.08
"rates",0.08
"reasonable",0.08
"relaxing",0.08
"resort",0.08
"rides",0.08
"right",0.08
"scuba",0.08
"seating",0.08
"shops",0.08
"something",0.08
"special",0.08
"sporting",0.08
"store",0.08
"students",0.08
"sushi",0.08
"table",0.08
"tennis",0.08
"tour",0.08
"vacation",0.08
"vegetarian",0.08
"website",0.08
"within",0.08
"york",0.08
"adventure",0.07
"always",0.07
"ave",0.07
"beautiful",0.07
"become",0.07
"bike",0.07
"book",0.07
"boutiques",0.07
"cafe",0.07
"chain",0.07
"check",0.07
"day",0.07
"days",0.07
"dive",0.07
"feature",0.07
"found",0.07
"friday",0.07
"front",0.07
"garden",0.07
"hiking",0.07
"hot",0.07
"items",0.07
"kayak",0.07
"kennedy",0.07
"kids",0.07
"locally",0.07
"meal",0.07
"meeting",0.07
"minutes",0.07
"nights",0.07
"often",0.07
"online",0.07
"pub",0.07
"salads",0.07
"saturday",0.07
"scenic",0.07
"seasonal",0.07
"street",0.07
"summer",0.07
"theater",0.07
"three",0.07
"top",0.07
"two",0.07
"value",0.07
"wine",0.07
