"","offices"
"exchange",0.15
"companies",0.14
"accept",0.13
"visa",0.13
"card",0.12
"cards",0.12
"currency",0.12
"foreign",0.12
"passport",0.12
"prepaid",0.12
"drivers",0.11
"expensive",0.11
"government",0.11
"insurance",0.11
"mobile",0.11
"money",0.11
"normally",0.11
"obtain",0.11
"office",0.11
"often",0.11
"pay",0.11
"sim",0.11
"advance",0.1
"avoid",0.1
"charge",0.1
"coins",0.1
"common",0.1
"countries",0.1
"customs",0.1
"ensure",0.1
"eu",0.1
"european",0.1
"generally",0.1
"may",0.1
"numbers",0.1
"official",0.1
"online",0.1
"phones",0.1
"police",0.1
"rate",0.1
"sometimes",0.1
"tipping",0.1
"transport",0.1
"use",0.1
"usually",0.1
"valid",0.1
"visas",0.1
"widely",0.1
"without",0.1
"accepted",0.09
"amount",0.09
"apply",0.09
"ask",0.09
"atms",0.09
"aware",0.09
"better",0.09
"book",0.09
"booked",0.09
"booking",0.09
"budget",0.09
"buying",0.09
"case",0.09
"change",0.09
"cheaper",0.09
"citizens",0.09
"credit",0.09
"crossings",0.09
"different",0.09
"driver",0.09
"embassy",0.09
"emergency",0.09
"especially",0.09
"even",0.09
"give",0.09
"hotels",0.09
"know",0.09
"least",0.09
"legal",0.09
"machines",0.09
"note",0.09
"payment",0.09
"price",0.09
"prices",0.09
"problems",0.09
"provide",0.09
"rarely",0.09
"rather",0.09
"require",0.09
"security",0.09
"tend",0.09
"ticket",0.09
"tickets",0.09
"tourist",0.09
"traffic",0.09
"wear",0.09
"women",0.09
"''''",0.08
"able",0.08
"allow",0.08
"another",0.08
"applies",0.08
"areas",0.08
"beware",0.08
"buy",0.08
"care",0.08
"cash",0.08
"check",0.08
"company",0.08
"consider",0.08
"coverage",0.08
"debit",0.08
"driver's",0.08
"expect",0.08
"expected",0.08
"find",0.08
"foreigners",0.08
"found",0.08
"gsm",0.08
"higher",0.08
"illegal",0.08
"including",0.08
"insist",0.08
"internet",0.08
"keep",0.08
"language",0.08
"languages",0.08
"like",0.08
"longer",0.08
"low",0.08
"medical",0.08
"men",0.08
"might",0.08
"ministry",0.08
"must",0.08
"need",0.08
"network",0.08
"networks",0.08
"night",0.08
"notes",0.08
"offer",0.08
"officers",0.08
"operators",0.08
"others",0.08
"passports",0.08
"paying",0.08
"post",0.08
"problem",0.08
"refuse",0.08
"rules",0.08
"safe",0.08
"say",0.08
"services",0.08
"similar",0.08
"smaller",0.08
"staff",0.08
"standard",0.08
"still",0.08
"sure",0.08
"terminal",0.08
"though",0.08
"time",0.08
"touts",0.08
"unless",0.08
"work",0.08
"written",0.08
"agencies",0.07
"already",0.07
"always",0.07
"arrange",0.07
"asking",0.07
"assistance",0.07
"attention",0.07
"baggage",0.07
"carry",0.07
"compared",0.07
"computer",0.07
"customary",0.07
"departure",0.07
"detailed",0.07
"enter",0.07
"fares",0.07
"financial",0.07
"hard",0.07
"health",0.07
"heavy",0.07
"idea",0.07
"indicated",0.07
"instead",0.07
"issued",0.07
"job",0.07
"larger",0.07
"law",0.07
"letter",0.07
"license",0.07
"list",0.07
"make",0.07
"mind",0.07
"modern",0.07
"never",0.07
"operating",0.07
"paid",0.07
"passengers",0.07
"plan",0.07
"please",0.07
"public",0.07
"required",0.07
"sense",0.07
"show",0.07
"someone",0.07
"stamp",0.07
"system",0.07
"using",0.07
"want",0.07
"widespread",0.07
"will",0.07
