"","often"
"generally",0.22
"usually",0.2
"common",0.19
"even",0.19
"sometimes",0.19
"avoid",0.18
"especially",0.18
"english",0.17
"may",0.17
"although",0.16
"always",0.16
"drivers",0.16
"expensive",0.16
"foreign",0.16
"keep",0.16
"much",0.16
"pay",0.16
"tend",0.16
"will",0.16
"areas",0.15
"countries",0.15
"expect",0.15
"know",0.15
"less",0.15
"locals",0.15
"make",0.15
"many",0.15
"people",0.15
"smaller",0.15
"speak",0.15
"without",0.15
"aware",0.14
"card",0.14
"cheaper",0.14
"due",0.14
"larger",0.14
"least",0.14
"likely",0.14
"offer",0.14
"quite",0.14
"relatively",0.14
"safe",0.14
"sure",0.14
"though",0.14
"throughout",0.14
"travel",0.14
"use",0.14
"widely",0.14
"accept",0.13
"almost",0.13
"ask",0.13
"better",0.13
"certain",0.13
"extremely",0.13
"find",0.13
"language",0.13
"languages",0.13
"large",0.13
"might",0.13
"money",0.13
"note",0.13
"police",0.13
"popular",0.13
"price",0.13
"prices",0.13
"referred",0.13
"regions",0.13
"roads",0.13
"similar",0.13
"tourists",0.13
"unless",0.13
"bars",0.12
"cards",0.12
"carry",0.12
"change",0.12
"cheap",0.12
"check",0.12
"compared",0.12
"crime",0.12
"currency",0.12
"difficult",0.12
"dollars",0.12
"driver",0.12
"driving",0.12
"european",0.12
"exchange",0.12
"far",0.12
"found",0.12
"give",0.12
"hard",0.12
"however",0.12
"like",0.12
"mind",0.12
"night",0.12
"normally",0.12
"number",0.12
"official",0.12
"outside",0.12
"rarely",0.12
"rate",0.12
"rather",0.12
"recent",0.12
"sim",0.12
"slightly",0.12
"still",0.12
"strong",0.12
"traffic",0.12
"try",0.12
"typically",0.12
"used",0.12
"visa",0.12
"'re",0.11
"another",0.11
"beer",0.11
"best",0.11
"bit",0.11
"bottled",0.11
"careful",0.11
"case",0.11
"cause",0.11
"cities",0.11
"citizens",0.11
"companies",0.11
"consider",0.11
"considered",0.11
"dangerous",0.11
"depending",0.11
"despite",0.11
"dish",0.11
"extra",0.11
"fairly",0.11
"food",0.11
"getting",0.11
"heavy",0.11
"help",0.11
"high",0.11
"higher",0.11
"highly",0.11
"longer",0.11
"look",0.11
"majority",0.11
"mean",0.11
"means",0.11
"must",0.11
"need",0.11
"never",0.11
"numbers",0.11
"offices",0.11
"passport",0.11
"paying",0.11
"possible",0.11
"provide",0.11
"quality",0.11
"require",0.11
"sell",0.11
"serious",0.11
"simply",0.11
"someone",0.11
"spoken",0.11
"tickets",0.11
"time",0.11
"using",0.11
"valid",0.11
"visas",0.11
"visitors",0.11
"want",0.11
"well",0.11
"work",0.11
"'ll",0.1
"accepted",0.1
"advance",0.1
"among",0.1
"amount",0.1
"anywhere",0.1
"applies",0.1
"apply",0.1
"become",0.1
"called",0.1
"charge",0.1
"clubs",0.1
"commonly",0.1
"cost",0.1
"crowded",0.1
"day",0.1
"different",0.1
"distinct",0.1
"drink",0.1
"drunk",0.1
"either",0.1
"embassy",0.1
"emergency",0.1
"every",0.1
"excellent",0.1
"given",0.1
"good",0.1
"idea",0.1
"illegal",0.1
"insist",0.1
"instead",0.1
"insurance",0.1
"issue",0.1
"late",0.1
"legal",0.1
"limited",0.1
"little",0.1
"live",0.1
"locations",0.1
"long",0.1
"low",0.1
"making",0.1
"modern",0.1
"mostly",0.1
"music",0.1
"occur",0.1
"others",0.1
"paid",0.1
"parts",0.1
"passengers",0.1
"places",0.1
"plan",0.1
"political",0.1
"prepaid",0.1
"prepared",0.1
"problem",0.1
"problems",0.1
"purchase",0.1
"range",0.1
"remember",0.1
"risk",0.1
"routes",0.1
"rule",0.1
"safety",0.1
"seem",0.1
"served",0.1
"services",0.1
"several",0.1
"short",0.1
"something",0.1
"somewhat",0.1
"staff",0.1
"standard",0.1
"system",0.1
"taking",0.1
"tends",0.1
"ticket",0.1
"times",0.1
"tipping",0.1
"travelers",0.1
"travellers",0.1
"trying",0.1
"unlikely",0.1
"virtually",0.1
"wait",0.1
"way",0.1
"weather",0.1
"widespread",0.1
"within",0.1
"women",0.1
"'s",0.09
"able",0.09
"additional",0.09
"air",0.09
"alcohol",0.09
"allow",0.09
"allowed",0.09
"also",0.09
"anything",0.09
"asking",0.09
"atms",0.09
"attempt",0.09
"attention",0.09
"average",0.09
"becoming",0.09
"beware",0.09
"book",0.09
"bring",0.09
"budget",0.09
"buy",0.09
"buying",0.09
"care",0.09
"cases",0.09
"cash",0.09
"caution",0.09
"certainly",0.09
"cheapest",0.09
"close",0.09
"cold",0.09
"conditions",0.09
"cooler",0.09
"cultural",0.09
"culture",0.09
"days",0.09
"deal",0.09
"dishes",0.09
"domestic",0.09
"drinking",0.09
"drinks",0.09
"easy",0.09
"elsewhere",0.09
"encounter",0.09
"end",0.09
"ensure",0.09
"exception",0.09
"expected",0.09
"extensive",0.09
"fares",0.09
"fast",0.09
"fee",0.09
"feel",0.09
"first",0.09
"flights",0.09
"foreigners",0.09
"form",0.09
"french",0.09
"get",0.09
"going",0.09
"gsm",0.09
"hotels",0.09
"include",0.09
"including",0.09
"largest",0.09
"last",0.09
"law",0.09
"let",0.09
"list",0.09
"local",0.09
"looking",0.09
"made",0.09
"major",0.09
"map",0.09
"meat",0.09
