"","open"
"saturday",0.18
"closed",0.17
"monday",0.17
"bar",0.16
"friday",0.16
"lunch",0.16
"sunday",0.16
"admission",0.15
"free",0.15
"restaurant",0.15
"year",0.15
"dinner",0.14
"music",0.14
"outdoor",0.14
"shop",0.14
"breakfast",0.13
"live",0.13
"menu",0.13
"public",0.13
"selection",0.13
"street",0.13
"tuesday",0.13
"art",0.12
"day",0.12
"events",0.12
"features",0.12
"food",0.12
"house",0.12
"indoor",0.12
"offers",0.12
"summer",0.12
"sundays",0.12
"thursday",0.12
"weekends",0.12
"april",0.11
"cafe",0.11
"daily",0.11
"days",0.11
"dining",0.11
"end",0.11
"every",0.11
"family",0.11
"full",0.11
"gallery",0.11
"homemade",0.11
"october",0.11
"parking",0.11
"room",0.11
"sandwiches",0.11
"serves",0.11
"tours",0.11
"variety",0.11
"wednesday",0.11
"available",0.1
"building",0.1
"call",0.1
"club",0.1
"coffee",0.1
"course",0.1
"featuring",0.1
"fine",0.1
"fresh",0.1
"friendly",0.1
"gourmet",0.1
"great",0.1
"late",0.1
"lounge",0.1
"may",0.1
"night",0.1
"nights",0.1
"offering",0.1
"phone",0.1
"pool",0.1
"shops",0.1
"specials",0.1
"weekend",0.1
"wide",0.1
"adults",0.09
"artists",0.09
"arts",0.09
"atmosphere",0.09
"bars",0.09
"bed",0.09
"beer",0.09
"children",0.09
"dance",0.09
"excellent",0.09
"first",0.09
"floor",0.09
"fridays",0.09
"garden",0.09
"gardens",0.09
"gift",0.09
"golf",0.09
"grounds",0.09
"guided",0.09
"ice",0.09
"including",0.09
"italian",0.09
"large",0.09
"march",0.09
"museum",0.09
"offer",0.09
"owned",0.09
"park",0.09
"picnic",0.09
"pizza",0.09
"prices",0.09
"renovated",0.09
"seating",0.09
"serving",0.09
"shopping",0.09
"special",0.09
"store",0.09
"students",0.09
"style",0.09
"usually",0.09
"visitors",0.09
"walking",0.09
"week",0.09
"well",0.09
"wine",0.09
"-site",0.08
"'re",0.08
"acres",0.08
"air",0.08
"always",0.08
"american",0.08
"authentic",0.08
"behind",0.08
"bike",0.08
"book",0.08
"books",0.08
"buffet",0.08
"casual",0.08
"check",0.08
"chef",0.08
"choice",0.08
"christmas",0.08
"collection",0.08
"company",0.08
"courses",0.08
"diner",0.08
"door",0.08
"evening",0.08
"fun",0.08
"good",0.08
"include",0.08
"internet",0.08
"june",0.08
"just",0.08
"kitchen",0.08
"labor",0.08
"light",0.08
"meal",0.08
"mile",0.08
"next",0.08
"office",0.08
"often",0.08
"opened",0.08
"opening",0.08
"outside",0.08
"pasta",0.08
"plus",0.08
"pub",0.08
"quality",0.08
"rental",0.08
"right",0.08
"rooms",0.08
"salads",0.08
"saturdays",0.08
"sells",0.08
"service",0.08
"shows",0.08
"sports",0.08
"staff",0.08
"sun",0.08
"sure",0.08
"table",0.08
"tables",0.08
"throughout",0.08
"vary",0.08
"views",0.08
"adult",0.07
"brunch",0.07
"cards",0.07
"children's",0.07
"classes",0.07
"classic",0.07
"closes",0.07
"cocktail",0.07
"concerts",0.07
"cream",0.07
"cuisine",0.07
"deli",0.07
"designed",0.07
"dishes",0.07
"early",0.07
"enjoy",0.07
"entrance",0.07
"evenings",0.07
"event",0.07
"except",0.07
"exhibits",0.07
"farm",0.07
"favorite",0.07
"fee",0.07
"front",0.07
"glass",0.07
"held",0.07
"high",0.07
"history",0.07
"jazz",0.07
"keep",0.07
"m-f",0.07
"meals",0.07
"miles",0.07
"new",0.07
"november",0.07
"order",0.07
"patio",0.07
"play",0.07
"price",0.07
"private",0.07
"pubs",0.07
"rd",0.07
"run",0.07
"season",0.07
"september",0.07
"st",0.07
"steak",0.07
"student",0.07
"swimming",0.07
"tennis",0.07
"three",0.07
"tickets",0.07
"till",0.07
"top",0.07
"two",0.07
"use",0.07
"watch",0.07
"website",0.07
