"","original"
"built",0.15
"building",0.14
"historic",0.14
"buildings",0.12
"collection",0.12
"museum",0.12
"now",0.12
"rebuilt",0.12
"restored",0.12
"still",0.12
"art",0.11
"features",0.11
"signage",0.11
"designed",0.1
"display",0.1
"oldest",0.1
"originally",0.1
"structure",0.1
"arts",0.09
"century",0.09
"first",0.09
"house",0.09
"music",0.09
"old",0.09
"remaining",0.09
"years",0.09
"classic",0.08
"code",0.08
"consist",0.08
"dial",0.08
"early",0.08
"exhibits",0.08
"free",0.08
"gallery",0.08
"gift",0.08
"hall",0.08
"historical",0.08
"history",0.08
"home",0.08
"later",0.08
"opened",0.08
"present",0.08
"preserved",0.08
"second",0.08
"street",0.08
"style",0.08
"telephone",0.08
"theatre",0.08
"today",0.08
"unique",0.08
"used",0.08
"american",0.07
"became",0.07
"businesses",0.07
"closed",0.07
"family",0.07
"featuring",0.07
"founded",0.07
"glass",0.07
"held",0.07
"housed",0.07
"houses",0.07
"john",0.07
"modern",0.07
"moved",0.07
"permanent",0.07
"site",0.07
"survived",0.07
"surviving",0.07
"tower",0.07
"variety",0.07
"war",0.07
