"","outside"
"just",0.19
"expensive",0.13
"inside",0.13
"generally",0.12
"often",0.12
"will",0.12
"always",0.11
"avoid",0.11
"cheap",0.11
"english",0.11
"expect",0.11
"find",0.11
"large",0.11
"look",0.11
"make",0.11
"pay",0.11
"prices",0.11
"quite",0.11
"use",0.11
"'s",0.1
"ask",0.1
"bars",0.1
"best",0.1
"check",0.1
"especially",0.1
"every",0.1
"food",0.1
"foreign",0.1
"good",0.1
"may",0.1
"might",0.1
"much",0.1
"next",0.1
"note",0.1
"number",0.1
"sit",0.1
"sometimes",0.1
"sure",0.1
"taxi",0.1
"taxis",0.1
"tickets",0.1
"usually",0.1
"want",0.1
"without",0.1
"'re",0.09
"although",0.09
"back",0.09
"bit",0.09
"buy",0.09
"cheaper",0.09
"common",0.09
"cost",0.09
"drink",0.09
"driver",0.09
"european",0.09
"even",0.09
"far",0.09
"floor",0.09
"free",0.09
"get",0.09
"hard",0.09
"know",0.09
"least",0.09
"likely",0.09
"little",0.09
"many",0.09
"modern",0.09
"money",0.09
"need",0.09
"night",0.09
"offer",0.09
"police",0.09
"price",0.09
"really",0.09
"right",0.09
"sell",0.09
"shops",0.09
"single",0.09
"staff",0.09
"still",0.09
"streets",0.09
"tend",0.09
"ticket",0.09
"tourist",0.09
"try",0.09
"unless",0.09
"walk",0.09
"well",0.09
"within",0.09
"work",0.09
"worth",0.09
"'ll",0.08
"able",0.08
"advance",0.08
"almost",0.08
"also",0.08
"another",0.08
"anything",0.08
"areas",0.08
"around",0.08
"aware",0.08
"beer",0.08
"better",0.08
"building",0.08
"cards",0.08
"centre",0.08
"charge",0.08
"citizens",0.08
"costs",0.08
"countries",0.08
"currency",0.08
"different",0.08
"dishes",0.08
"drivers",0.08
"easy",0.08
"excellent",0.08
"exchange",0.08
"extra",0.08
"feel",0.08
"found",0.08
"friendly",0.08
"give",0.08
"go",0.08
"hotels",0.08
"keep",0.08
"leave",0.08
"like",0.08
"locals",0.08
"longer",0.08
"lot",0.08
"menu",0.08
"music",0.08
"nice",0.08
"open",0.08
"parking",0.08
"paying",0.08
"per",0.08
"places",0.08
"plan",0.08
"prepared",0.08
"probably",0.08
"put",0.08
"quality",0.08
"rarely",0.08
"rather",0.08
"regular",0.08
"restaurant",0.08
"run",0.08
"seating",0.08
"see",0.08
"serve",0.08
"shopping",0.08
"short",0.08
"slightly",0.08
"smaller",0.08
"stop",0.08
"tables",0.08
"things",0.08
"though",0.08
"throughout",0.08
"time",0.08
"tourists",0.08
"traffic",0.08
"used",0.08
"useful",0.08
"valid",0.08
"walking",0.08
"accept",0.07
"allowed",0.07
"anywhere",0.07
"available",0.07
"behind",0.07
"book",0.07
"booking",0.07
"budget",0.07
"call",0.07
"cater",0.07
"change",0.07
"close",0.07
"clubs",0.07
"complete",0.07
"consider",0.07
"decent",0.07
"difficult",0.07
"double",0.07
"drinks",0.07
"end",0.07
"enter",0.07
"entrance",0.07
"except",0.07
"fairly",0.07
"getting",0.07
"great",0.07
"help",0.07
"idea",0.07
"language",0.07
"market",0.07
"meat",0.07
"minutes",0.07
"mix",0.07
"must",0.07
"office",0.07
"opposite",0.07
"option",0.07
"others",0.07
"people",0.07
"person",0.07
"pick",0.07
"place",0.07
"problem",0.07
"public",0.07
"quiet",0.07
"range",0.07
"rate",0.07
"reasonably",0.07
"remember",0.07
"rooms",0.07
"safe",0.07
"serves",0.07
"several",0.07
"show",0.07
"side",0.07
"sign",0.07
"system",0.07
"times",0.07
"trying",0.07
"using",0.07
"visa",0.07
"wait",0.07
"waiting",0.07
