"","padi"
"dive",0.49
"dives",0.38
"divers",0.37
"diving",0.34
"scuba",0.31
"reef",0.21
"snorkeling",0.2
"coral",0.17
"courses",0.17
"beginner",0.15
"certified",0.15
"snorkel",0.15
"bungalows",0.14
"reefs",0.14
"marine",0.13
"resort",0.13
"resorts",0.13
"visibility",0.13
"beachfront",0.12
"operators",0.12
"underwater",0.12
"beach",0.11
"boat",0.11
"fan",0.11
"shallow",0.11
"sharks",0.11
"villas",0.11
"packages",0.1
"shark",0.1
"trips",0.1
"waters",0.1
"advanced",0.09
"boats",0.09
"equipment",0.09
"fish",0.09
"gear",0.09
"island",0.09
"beaches",0.08
"budget",0.08
"bungalow",0.08
"chalets",0.08
"pool",0.08
"seafood",0.08
"training",0.08
"tropical",0.08
"turtles",0.08
"water",0.08
"air-con",0.07
"backpacker",0.07
"dolphins",0.07
"jetty",0.07
"mosquito",0.07
"motorbike",0.07
"price",0.07
"private",0.07
"sunset",0.07
"swimming",0.07
"technical",0.07
"transfers",0.07
"turtle",0.07
