"","paintings"
"painting",0.2
"convent",0.14
"art",0.13
"collection",0.13
"decorated",0.12
"gallery",0.11
"works",0.11
"artist",0.1
"artistic",0.1
"artists",0.1
"church",0.1
"frescoes",0.1
"painted",0.1
"sculptures",0.1
"altar",0.09
"building",0.09
"built",0.09
"century",0.09
"houses",0.09
"interior",0.09
"palace",0.09
"represent",0.09
"wall",0.09
"baroque",0.08
"della",0.08
"exhibition",0.08
"maria",0.08
"orthodox",0.08
"walls",0.08
"wooden",0.08
"assembly",0.07
"ceramics",0.07
"chapel",0.07
"fortress",0.07
"impressive",0.07
"precious",0.07
"romanesque",0.07
