"","palace"
"royal",0.17
"palaces",0.15
"built",0.14
"baroque",0.12
"palace'''",0.12
"residence",0.12
"temple",0.11
"century",0.1
"complex",0.1
"facade",0.1
"marble",0.1
"residences",0.1
"rulers",0.1
"building",0.09
"occupation",0.09
"paintings",0.09
"raja",0.09
"walls",0.09
"ad",0.08
"decorated",0.08
"emperor",0.08
"famous",0.08
"floor",0.08
"former",0.08
"garden",0.08
"gothic",0.08
"hotel",0.08
"imperial",0.08
"india",0.08
"king",0.08
"kingdom",0.08
"later",0.08
"monument",0.08
"museum",0.08
"painting",0.08
"rebuilt",0.08
"tower",0.08
"ancient",0.07
"architect",0.07
"cathedral",0.07
"modern",0.07
"ticket",0.07
"works",0.07
