"","part"
"parts",0.14
"southern",0.14
"became",0.13
"eastern",0.13
"northern",0.13
"important",0.12
"language",0.11
"region",0.11
"still",0.11
"later",0.1
"used",0.1
"annexed",0.09
"area",0.09
"century",0.09
"cities",0.09
"considered",0.09
"divided",0.09
"even",0.09
"kingdom",0.09
"mostly",0.09
"now",0.09
"often",0.09
"regions",0.09
"spoken",0.09
"world",0.09
"almost",0.08
"although",0.08
"areas",0.08
"borders",0.08
"built",0.08
"called",0.08
"capital",0.08
"central",0.08
"common",0.08
"countries",0.08
"cultural",0.08
"due",0.08
"especially",0.08
"european",0.08
"far",0.08
"former",0.08
"forms",0.08
"german",0.08
"languages",0.08
"largest",0.08
"middle",0.08
"national",0.08
"old",0.08
"oldest",0.08
"polish",0.08
"remains",0.08
"second",0.08
"since",0.08
"territory",0.08
"war",0.08
"consists",0.07
"dialect",0.07
"english",0.07
"first",0.07
"land",0.07
"larger",0.07
"major",0.07
"period",0.07
"towns",0.07
"urban",0.07
