"","party"
"parties",0.16
"bars",0.13
"clubs",0.11
"night",0.11
"communist",0.1
"dance",0.1
"live",0.1
"nightlife",0.1
"always",0.09
"avoid",0.09
"bar",0.09
"djs",0.09
"find",0.09
"moon",0.09
"music",0.09
"offer",0.09
"police",0.09
"prices",0.09
"report",0.09
"theft",0.09
"bungalows",0.08
"cheap",0.08
"cheaper",0.08
"club",0.08
"cocktails",0.08
"different",0.08
"dress",0.08
"every",0.08
"front",0.08
"full",0.08
"generally",0.08
"great",0.08
"locals",0.08
"money",0.08
"often",0.08
"try",0.08
"usually",0.08
"valuables",0.08
"variety",0.08
"want",0.08
"atmosphere",0.07
"better",0.07
"big",0.07
"drink",0.07
"drinks",0.07
"drugs",0.07
"even",0.07
"happy",0.07
"might",0.07
"normally",0.07
"pay",0.07
"people",0.07
"relaxed",0.07
"sometimes",0.07
"staying",0.07
"sure",0.07
