"","pasta"
"italian",0.2
"pizza",0.13
"dishes",0.12
"menu",0.12
"pizzas",0.12
"restaurant",0.12
"fresh",0.1
"homemade",0.1
"lunch",0.1
"atmosphere",0.09
"bar",0.09
"dining",0.09
"food",0.09
"music",0.09
"sandwiches",0.09
"selection",0.09
"baked",0.08
"casual",0.08
"chef",0.08
"delicious",0.08
"dinner",0.08
"free",0.08
"offers",0.08
"open",0.08
"priced",0.08
"salads",0.08
"seafood",0.08
"seating",0.08
"serving",0.08
"sushi",0.08
"variety",0.08
"di",0.07
"italy",0.07
"sauces",0.07
"specials",0.07
"steak",0.07
"style",0.07
