"","patio"
"dining",0.16
"outdoor",0.15
"bar",0.12
"dinner",0.12
"downtown",0.12
"lunch",0.12
"menu",0.12
"seating",0.12
"casual",0.11
"music",0.11
"specials",0.11
"ave",0.1
"blvd",0.1
"eclectic",0.1
"live",0.1
"mexican",0.1
"sandwiches",0.1
"selection",0.1
"wine",0.1
"american",0.09
"atmosphere",0.09
"bands",0.09
"breakfast",0.09
"food",0.09
"free",0.09
"friendly",0.09
"great",0.09
"inn",0.09
"lounge",0.09
"offers",0.09
"organic",0.09
"restaurant",0.09
"salads",0.09
"st",0.09
"street",0.09
"suites",0.09
"sushi",0.09
"upscale",0.09
"avenue",0.08
"blocks",0.08
"boutique",0.08
"brunch",0.08
"burger",0.08
"cozy",0.08
"delicious",0.08
"dr",0.08
"favorite",0.08
"features",0.08
"featuring",0.08
"fine",0.08
"fitness",0.08
"gourmet",0.08
"indoor",0.08
"italian",0.08
"kitchen",0.08
"pool",0.08
"signature",0.08
"winery",0.08
"appetizers",0.07
"art",0.07
"block",0.07
"burgers",0.07
"classic",0.07
"coffee",0.07
"corner",0.07
"entrees",0.07
"fresh",0.07
"full",0.07
"nightly",0.07
"open",0.07
"romantic",0.07
"suite",0.07
"table",0.07
"tasting",0.07
"wireless",0.07
