"","pay"
"expect",0.3
"driver",0.24
"drivers",0.23
"price",0.23
"ask",0.21
"cost",0.21
"money",0.21
"prices",0.21
"will",0.21
"expensive",0.2
"want",0.2
"fee",0.19
"paying",0.19
"taxi",0.19
"attention",0.18
"avoid",0.18
"buy",0.18
"may",0.18
"need",0.18
"card",0.17
"cards",0.17
"costs",0.17
"leave",0.17
"per",0.17
"try",0.17
"usually",0.17
"better",0.16
"charge",0.16
"cheap",0.16
"cheaper",0.16
"depending",0.16
"even",0.16
"exchange",0.16
"extra",0.16
"make",0.16
"often",0.16
"sure",0.16
"taxis",0.16
"ticket",0.16
"visa",0.16
"'re",0.15
"accept",0.15
"always",0.15
"currency",0.15
"foreign",0.15
"foreigners",0.15
"get",0.15
"give",0.15
"know",0.15
"less",0.15
"might",0.15
"must",0.15
"negotiate",0.15
"passport",0.15
"person",0.15
"rate",0.15
"sometimes",0.15
"use",0.15
"wait",0.15
"without",0.15
"able",0.14
"bit",0.14
"buying",0.14
"cash",0.14
"change",0.14
"especially",0.14
"fare",0.14
"find",0.14
"generally",0.14
"insist",0.14
"keep",0.14
"least",0.14
"luggage",0.14
"note",0.14
"prepaid",0.14
"sell",0.14
"touts",0.14
"'ll",0.13
"'s",0.13
"agree",0.13
"although",0.13
"amount",0.13
"arrange",0.13
"asked",0.13
"atms",0.13
"aware",0.13
"careful",0.13
"common",0.13
"countries",0.13
"credit",0.13
"drinks",0.13
"fixed",0.13
"getting",0.13
"go",0.13
"good",0.13
"hard",0.13
"higher",0.13
"likely",0.13
"much",0.13
"night",0.13
"offer",0.13
"paid",0.13
"people",0.13
"police",0.13
"prepared",0.13
"problem",0.13
"quite",0.13
"return",0.13
"ride",0.13
"sim",0.13
"staff",0.13
"tax",0.13
"tell",0.13
"tickets",0.13
"time",0.13
"trip",0.13
"unless",0.13
"visas",0.13
"advance",0.12
"another",0.12
"applies",0.12
"asking",0.12
"bargain",0.12
"book",0.12
"budget",0.12
"carry",0.12
"cheapest",0.12
"check",0.12
"clean",0.12
"day",0.12
"different",0.12
"dollars",0.12
"embassy",0.12
"english",0.12
"front",0.12
"guide",0.12
"help",0.12
"hotels",0.12
"idea",0.12
"instead",0.12
"insurance",0.12
"internet",0.12
"locals",0.12
"longer",0.12
"metered",0.12
"next",0.12
"normally",0.12
"option",0.12
"payment",0.12
"pick",0.12
"possible",0.12
"probably",0.12
"refuse",0.12
"say",0.12
"seem",0.12
"stay",0.12
"though",0.12
"tourists",0.12
"valid",0.12
"vary",0.12
"accepted",0.11
"allowed",0.11
"almost",0.11
"apply",0.11
"around",0.11
"arrival",0.11
