"","paying"
"pay",0.19
"drivers",0.16
"expensive",0.16
"avoid",0.15
"card",0.15
"driver",0.15
"money",0.15
"ask",0.14
"prices",0.14
"without",0.14
"always",0.13
"atms",0.13
"cards",0.13
"currency",0.13
"exchange",0.13
"fee",0.13
"insist",0.13
"note",0.13
"visa",0.13
"visas",0.13
"'re",0.12
"accept",0.12
"cash",0.12
"cheaper",0.12
"even",0.12
"know",0.12
"passport",0.12
"prepaid",0.12
"price",0.12
"rate",0.12
"refuse",0.12
"sell",0.12
"sometimes",0.12
"unless",0.12
"usually",0.12
"able",0.11
"aware",0.11
"better",0.11
"buy",0.11
"careful",0.11
"charge",0.11
"countries",0.11
"credit",0.11
"embassy",0.11
"generally",0.11
"illegal",0.11
"keep",0.11
"likely",0.11
"make",0.11
"may",0.11
"notes",0.11
"often",0.11
"option",0.11
"paid",0.11
"police",0.11
"sure",0.11
"tipping",0.11
"wait",0.11
"advance",0.1
"asking",0.1
"attention",0.1
"bags",0.1
"certain",0.1
"cheap",0.1
"cheapest",0.1
"commission",0.1
"common",0.1
"companies",0.1
"consider",0.1
"cost",0.1
"especially",0.1
"expect",0.1
"extra",0.1
"foreign",0.1
"give",0.1
"help",0.1
"higher",0.1
"instead",0.1
"issue",0.1
"least",0.1
"might",0.1
"mind",0.1
"mobile",0.1
"need",0.1
"normal",0.1
"obtain",0.1
"passports",0.1
"payment",0.1
"problem",0.1
"put",0.1
"required",0.1
"sim",0.1
"tax",0.1
"touts",0.1
"try",0.1
"trying",0.1
"valid",0.1
"want",0.1
"will",0.1
"work",0.1
"''''",0.09
"'ll",0.09
"accepted",0.09
"advisable",0.09
"allowed",0.09
"already",0.09
"amount",0.09
"apply",0.09
"beware",0.09
"bills",0.09
"bit",0.09
"booking",0.09
"bottles",0.09
"buying",0.09
"calls",0.09
"carry",0.09
"case",0.09
"cause",0.09
"charged",0.09
"check",0.09
"costs",0.09
"debit",0.09
"dollars",0.09
"enter",0.09
"fare",0.09
"foreigners",0.09
"getting",0.09
"given",0.09
"id",0.09
"inflated",0.09
"insurance",0.09
"leave",0.09
"let",0.09
"luggage",0.09
"must",0.09
"negotiate",0.09
"never",0.09
"numbers",0.09
"offer",0.09
"official",0.09
"passengers",0.09
"person",0.09
"plan",0.09
"plastic",0.09
"purchase",0.09
"quite",0.09
"rarely",0.09
"receive",0.09
"request",0.09
"require",0.09
"respect",0.09
"risk",0.09
"say",0.09
"similar",0.09
"simply",0.09
"someone",0.09
"something",0.09
"staff",0.09
"taxi",0.09
"though",0.09
"ticket",0.09
"tickets",0.09
"use",0.09
"wear",0.09
"acceptable",0.08
"add",0.08
"additional",0.08
"advantage",0.08
"alone",0.08
"although",0.08
"another",0.08
"anything",0.08
"applies",0.08
"arrange",0.08
"arrival",0.08
"asked",0.08
"atm",0.08
"back",0.08
"bargain",0.08
"bargaining",0.08
"bill",0.08
"book",0.08
"budget",0.08
"call",0.08
"change",0.08
"charges",0.08
"citizens",0.08
"coins",0.08
"comes",0.08
"compared",0.08
"customs",0.08
