"","payment"
"card",0.16
"cards",0.16
"visas",0.16
"accepted",0.15
"credit",0.15
"passport",0.15
"accept",0.14
"cash",0.14
"currency",0.14
"sim",0.14
"visa",0.14
"prepaid",0.13
"tipping",0.13
"valid",0.13
"apply",0.12
"driver",0.12
"drivers",0.12
"nationals",0.12
"notes",0.12
"pay",0.12
"rank",0.12
"required",0.12
"ticket",0.12
"charge",0.11
"countries",0.11
"embassy",0.11
"equivalent",0.11
"medical",0.11
"mobile",0.11
"obtain",0.11
"require",0.11
"tax",0.11
"tickets",0.11
"assume",0.1
"demand",0.1
"departure",0.1
"exchange",0.1
"foreign",0.1
"generally",0.1
"insurance",0.1
"money",0.1
"note",0.1
"passports",0.1
"paying",0.1
"phones",0.1
"plastic",0.1
"police",0.1
"price",0.1
"purchased",0.1
"reputable",0.1
"serious",0.1
"arrival",0.09
"ask",0.09
"atms",0.09
"avoid",0.09
"aware",0.09
"buying",0.09
"calling",0.09
"case",0.09
"charged",0.09
"citizens",0.09
"collected",0.09
"common",0.09
"emergency",0.09
"extra",0.09
"fixed",0.09
"given",0.09
"illegal",0.09
"issued",0.09
"legal",0.09
"must",0.09
"normally",0.09
"numbers",0.09
"officers",0.09
"offices",0.09
"official",0.09
"often",0.09
"paid",0.09
"policy",0.09
"refuse",0.09
"risk",0.09
"seats",0.09
"stamp",0.09
"times",0.09
"traffic",0.09
"use",0.09
"''''",0.08
"advance",0.08
"agree",0.08
"allowed",0.08
"always",0.08
"applies",0.08
"asking",0.08
"assistance",0.08
"automatic",0.08
"belongings",0.08
"board",0.08
"careful",0.08
"charges",0.08
"cheaper",0.08
"coins",0.08
"cost",0.08
"cover",0.08
"data",0.08
"debit",0.08
"dollars",0.08
"domestic",0.08
"driver's",0.08
"ensure",0.08
"european",0.08
"expect",0.08
"expensive",0.08
"financial",0.08
"foreigners",0.08
"government",0.08
"gsm",0.08
"hand",0.08
"health",0.08
"higher",0.08
"id",0.08
"informal",0.08
"insist",0.08
"issue",0.08
"keep",0.08
"know",0.08
"language",0.08
"likely",0.08
"may",0.08
"mean",0.08
"need",0.08
"normal",0.08
"officer",0.08
"others",0.08
"passengers",0.08
"proof",0.08
"rate",0.08
"receive",0.08
"requires",0.08
"respect",0.08
"rule",0.08
"security",0.08
"someone",0.08
"sometimes",0.08
"tend",0.08
"typically",0.08
"usually",0.08
"wait",0.08
"waiting",0.08
"without",0.08
"work",0.08
"advisable",0.07
"bag",0.07
"bathrooms",0.07
"booking",0.07
"bottled",0.07
"cases",0.07
"certain",0.07
"companies",0.07
"consulate",0.07
"customs",0.07
"enter",0.07
"entering",0.07
"especially",0.07
"expected",0.07
"fees",0.07
"help",0.07
"hospitals",0.07
"idea",0.07
"intend",0.07
"law",0.07
"least",0.07
"letter",0.07
"license",0.07
"might",0.07
"mixed",0.07
"never",0.07
"obtained",0.07
"operate",0.07
"rarely",0.07
"rp",0.07
"rules",0.07
"safe",0.07
"saying",0.07
"sign",0.07
"standard",0.07
"sufficient",0.07
"tops",0.07
"travelling",0.07
"unless",0.07
"using",0.07
"vehicle",0.07
