"","people"
"speak",0.24
"language",0.17
"will",0.17
"even",0.16
"find",0.16
"like",0.16
"many",0.16
"always",0.15
"often",0.15
"usually",0.15
"come",0.14
"common",0.14
"english",0.14
"especially",0.14
"get",0.14
"make",0.14
"may",0.14
"want",0.14
"ask",0.13
"different",0.13
"generally",0.13
"go",0.13
"know",0.13
"lot",0.13
"might",0.13
"money",0.13
"pay",0.13
"sometimes",0.13
"sure",0.13
"try",0.13
"young",0.13
"almost",0.12
"avoid",0.12
"buy",0.12
"called",0.12
"can",0.12
"drink",0.12
"help",0.12
"keep",0.12
"languages",0.12
"official",0.12
"place",0.12
"spoken",0.12
"able",0.11
"another",0.11
"around",0.11
"culture",0.11
"foreign",0.11
"government",0.11
"hard",0.11
"night",0.11
"places",0.11
"police",0.11
"quite",0.11
"respect",0.11
"safe",0.11
"see",0.11
"stay",0.11
"time",0.11
"tourists",0.11
"use",0.11
"visit",0.11
"widely",0.11
"without",0.11
"'s",0.1
"although",0.1
"big",0.1
"countries",0.1
"drivers",0.1
"expect",0.1
"feel",0.1
"getting",0.1
"give",0.1
"going",0.1
"good",0.1
"live",0.1
"living",0.1
"locals",0.1
"made",0.1
"majority",0.1
"mostly",0.1
"much",0.1
"need",0.1
"never",0.1
"offer",0.1
"one",0.1
"price",0.1
"really",0.1
"since",0.1
"someone",0.1
"still",0.1
"used",0.1
"way",0.1
"women",0.1
"work",0.1
"'re",0.09
"alcohol",0.09
"also",0.09
"among",0.09
"anything",0.09
"bars",0.09
"best",0.09
"better",0.09
"careful",0.09
"carry",0.09
"cheap",0.09
"citizens",0.09
"cost",0.09
"crime",0.09
"difficult",0.09
"drinking",0.09
"drinks",0.09
"driver",0.09
"due",0.09
"eat",0.09
"european",0.09
"every",0.09
"everyone",0.09
"expensive",0.09
"extremely",0.09
"idea",0.09
"indigenous",0.09
"instead",0.09
"kind",0.09
"least",0.09
"life",0.09
"little",0.09
"look",0.09
"means",0.09
"meat",0.09
"parts",0.09
"popular",0.09
"prices",0.09
"problem",0.09
"problems",0.09
"remember",0.09
"say",0.09
"sell",0.09
"similar",0.09
"something",0.09
"speaking",0.09
"taxis",0.09
"tend",0.09
"things",0.09
"travel",0.09
"understand",0.09
"unless",0.09
"wear",0.09
"weather",0.09
"accept",0.08
"anywhere",0.08
"asking",0.08
"aware",0.08
"basic",0.08
"become",0.08
"bring",0.08
"case",0.08
"certain",0.08
"cheaper",0.08
"companies",0.08
"consider",0.08
"considered",0.08
"costs",0.08
"day",0.08
"dialect",0.08
"enjoy",0.08
"ethnic",0.08
"experience",0.08
"far",0.08
"food",0.08
"foreigners",0.08
"form",0.08
"found",0.08
"groups",0.08
"however",0.08
"knowledge",0.08
"leave",0.08
"less",0.08
"long",0.08
"maybe",0.08
"men",0.08
"mobile",0.08
"must",0.08
"native",0.08
"nice",0.08
"normally",0.08
"order",0.08
"others",0.08
"paying",0.08
"political",0.08
"population",0.08
"possible",0.08
"rate",0.08
"regions",0.08
"roads",0.08
"rule",0.08
"serve",0.08
"show",0.08
"speakers",0.08
"special",0.08
"taxi",0.08
"tell",0.08
"though",0.08
"tourist",0.08
"trying",0.08
"visa",0.08
"wait",0.08
"whole",0.08
"words",0.08
"working",0.08
"years",0.08
"younger",0.08
"air",0.07
"allowed",0.07
"alone",0.07
"areas",0.07
"bit",0.07
"bottled",0.07
"buying",0.07
"change",0.07
"cheapest",0.07
"clubs",0.07
"comes",0.07
"crowded",0.07
"currency",0.07
"days",0.07
"deal",0.07
"dollars",0.07
"drunk",0.07
"eating",0.07
"either",0.07
"exchange",0.07
"famous",0.07
"finding",0.07
"friendly",0.07
"friends",0.07
"group",0.07
"health",0.07
"hotels",0.07
"just",0.07
"likely",0.07
"local",0.07
"longer",0.07
"looking",0.07
"lots",0.07
"love",0.07
"low",0.07
"making",0.07
"medical",0.07
"meet",0.07
"mind",0.07
"option",0.07
"outside",0.07
"party",0.07
"passport",0.07
"person",0.07
"plan",0.07
"please",0.07
"poor",0.07
"prepared",0.07
"probably",0.07
"put",0.07
"rather",0.07
"risk",0.07
"safer",0.07
"safety",0.07
"simply",0.07
"spend",0.07
"standard",0.07
"start",0.07
"strong",0.07
"takes",0.07
"taking",0.07
"talk",0.07
"thing",0.07
"throughout",0.07
"together",0.07
"trip",0.07
"types",0.07
"watch",0.07
"well",0.07
