"","per"
"person",0.47
"night",0.25
"cost",0.21
"prices",0.19
"room",0.19
"costs",0.17
"day",0.17
"pay",0.17
"price",0.17
"rooms",0.17
"double",0.16
"ask",0.14
"charge",0.14
"depending",0.14
"driver",0.13
"expensive",0.13
"internet",0.13
"private",0.13
"single",0.13
"taxis",0.13
"bathroom",0.12
"breakfast",0.12
"clean",0.12
"dorm",0.12
"expect",0.12
"hostel",0.12
"hour",0.12
"meals",0.12
"rate",0.12
"shared",0.12
"taxi",0.12
"trip",0.12
"walk",0.12
"week",0.12
"will",0.12
"around",0.11
"booking",0.11
"budget",0.11
"cheap",0.11
"extra",0.11
"guest",0.11
"guide",0.11
"hotel",0.11
"leave",0.11
"next",0.11
"run",0.11
"staff",0.11
"start",0.11
"takes",0.11
"tour",0.11
"trips",0.11
"additional",0.1
"advance",0.1
"arrange",0.1
"atm",0.1
"available",0.1
"book",0.1
"buses",0.1
"buy",0.1
"can",0.1
"cheapest",0.1
"drivers",0.1
"fare",0.1
"fee",0.1
"free",0.1
"friendly",0.1
"get",0.1
"good",0.1
"guesthouse",0.1
"may",0.1
"money",0.1
"rates",0.1
"return",0.1
"season",0.1
"stay",0.1
"ticket",0.1
"times",0.1
"two",0.1
"usually",0.1
"want",0.1
"wifi",0.1
"without",0.1
"accept",0.09
"atms",0.09
"avoid",0.09
"basic",0.09
"beds",0.09
"better",0.09
"bit",0.09
"board",0.09
"bungalow",0.09
"bus",0.09
"cards",0.09
"cash",0.09
"cheaper",0.09
"costing",0.09
"dinner",0.09
"drinks",0.09
"even",0.09
"every",0.09
"food",0.09
"front",0.09
"hire",0.09
"hours",0.09
"included",0.09
"journey",0.09
"least",0.09
"might",0.09
"minimum",0.09
"minutes",0.09
"nice",0.09
"offer",0.09
"option",0.09
"owner",0.09
"rent",0.09
"ride",0.09
"right",0.09
"simple",0.09
"tours",0.09
"try",0.09
"wait",0.09
"'s",0.08
"average",0.08
"bags",0.08
"bathrooms",0.08
"beer",0.08
"boat",0.08
"booked",0.08
"bottle",0.08
"bungalows",0.08
"change",0.08
"charged",0.08
"charges",0.08
"credit",0.08
"days",0.08
"decent",0.08
"departure",0.08
"dishes",0.08
"end",0.08
"english",0.08
"entrance",0.08
"find",0.08
"generally",0.08
"give",0.08
"half",0.08
"hot",0.08
"hotels",0.08
"kitchen",0.08
"less",0.08
"low",0.08
"luggage",0.08
"make",0.08
"meal",0.08
"minibus",0.08
"morning",0.08
"must",0.08
"need",0.08
"note",0.08
"office",0.08
"often",0.08
"operators",0.08
"outside",0.08
"paid",0.08
"passengers",0.08
"paying",0.08
"plus",0.08
"pool",0.08
"prepared",0.08
"quiet",0.08
"quite",0.08
"rental",0.08
"seats",0.08
"sell",0.08
"set",0.08
"sharing",0.08
"starting",0.08
"staying",0.08
"sure",0.08
"take",0.08
"tend",0.08
"terminal",0.08
"tickets",0.08
"time",0.08
"use",0.08
"visa",0.08
"waiting",0.08
"water",0.08
"'re",0.07
"adult",0.07
"always",0.07
"anywhere",0.07
"arranged",0.07
"baggage",0.07
"bath",0.07
"behind",0.07
"bookings",0.07
"card",0.07
"catering",0.07
"check",0.07
"companies",0.07
"daily",0.07
"depart",0.07
"dorms",0.07
"either",0.07
"euros",0.07
"facilities",0.07
"flight",0.07
"floor",0.07
"go",0.07
"going",0.07
"guests",0.07
"hand",0.07
"helpful",0.07
"higher",0.07
"leaving",0.07
"left",0.07
"little",0.07
"locals",0.07
"luxury",0.07
"meters",0.07
"opposite",0.07
"options",0.07
"pick",0.07
"provide",0.07
"safe",0.07
"selling",0.07
"shower",0.07
"slightly",0.07
"standard",0.07
"swimming",0.07
"toilet",0.07
"tourist",0.07
"twice",0.07
"usd",0.07
"using",0.07
"vary",0.07
