"","perhaps"
"even",0.1
"although",0.09
"generally",0.09
"least",0.09
"much",0.09
"simply",0.09
"though",0.09
"best",0.08
"countries",0.08
"expect",0.08
"lacks",0.08
"less",0.08
"likely",0.08
"often",0.08
"pay",0.08
"somewhat",0.08
"still",0.08
"''''",0.07
"almost",0.07
"better",0.07
"bit",0.07
"common",0.07
"despite",0.07
"especially",0.07
"ever",0.07
"foreign",0.07
"might",0.07
"never",0.07
"probably",0.07
"rather",0.07
"recent",0.07
"regions",0.07
"tend",0.07
"unless",0.07
"useful",0.07
"worth",0.07
