"","permit"
"permits",0.26
"required",0.2
"issued",0.19
"apply",0.14
"insurance",0.13
"passport",0.13
"need",0.12
"without",0.12
"entry",0.11
"nationals",0.11
"obtained",0.11
"restricted",0.11
"visa",0.11
"co",0.1
"currency",0.1
"enter",0.1
"foreign",0.1
"permitted",0.1
"require",0.1
"travel",0.1
"valid",0.1
"allowed",0.09
"foreigners",0.09
"illegal",0.09
"must",0.09
"obtain",0.09
"police",0.09
"carry",0.08
"citizens",0.08
"customs",0.08
"government",0.08
"proof",0.08
"territory",0.08
"unless",0.08
"unsafe",0.08
"advance",0.07
"avoid",0.07
"generally",0.07
"intend",0.07
"respect",0.07
"visas",0.07
