"","phones"
"mobile",0.34
"cell",0.22
"sim",0.21
"cards",0.17
"prepaid",0.17
"tipping",0.16
"accept",0.15
"gsm",0.15
"card",0.14
"coverage",0.14
"networks",0.14
"roaming",0.14
"currency",0.13
"countries",0.12
"credit",0.12
"drivers",0.12
"text",0.12
"visa",0.12
"work",0.12
"apply",0.11
"calling",0.11
"carry",0.11
"common",0.11
"emergency",0.11
"even",0.11
"insurance",0.11
"internet",0.11
"numbers",0.11
"passport",0.11
"police",0.11
"rules",0.11
"accepted",0.1
"avoid",0.1
"calls",0.1
"coins",0.1
"data",0.1
"debit",0.1
"embassy",0.1
"exchange",0.1
"expected",0.1
"illegal",0.1
"legal",0.1
"might",0.1
"money",0.1
"offices",0.1
"passports",0.1
"pay",0.1
"payment",0.1
"rarely",0.1
"require",0.1
"tap",0.1
"tend",0.1
"visas",0.1
"widely",0.1
"always",0.09
"ambulance",0.09
"amount",0.09
"aware",0.09
"case",0.09
"cash",0.09
"driver's",0.09
"eu",0.09
"exceptions",0.09
"expensive",0.09
"fines",0.09
"foreign",0.09
"generally",0.09
"keep",0.09
"medical",0.09
"notes",0.09
"often",0.09
"paid",0.09
"providers",0.09
"report",0.09
"risk",0.09
"serious",0.09
"valid",0.09
"without",0.09
"acceptable",0.08
"allowed",0.08
"applies",0.08
"asking",0.08
"atms",0.08
"attention",0.08
"avoiding",0.08
"better",0.08
"bills",0.08
"brands",0.08
"broadband",0.08
"buying",0.08
"cameras",0.08
"careful",0.08
"charged",0.08
"cheaper",0.08
"citizens",0.08
"conductor",0.08
"correct",0.08
"cover",0.08
"customary",0.08
"dial",0.08
"difficult",0.08
"discuss",0.08
"dollars",0.08
"drugs",0.08
"especially",0.08
"europe",0.08
"expect",0.08
"higher",0.08
"know",0.08
"laws",0.08
"least",0.08
"mean",0.08
"newspapers",0.08
"note",0.08
"obtain",0.08
"official",0.08
"paying",0.08
"price",0.08
"rate",0.08
"refuse",0.08
"regardless",0.08
"reports",0.08
"rule",0.08
"safe",0.08
"security",0.08
"send",0.08
"signal",0.08
"sometimes",0.08
"sure",0.08
"surprised",0.08
"traffic",0.08
"unless",0.08
"use",0.08
"using",0.08
"usually",0.08
"vehicles",0.08
"wait",0.08
"widespread",0.08
"allow",0.07
"another",0.07
"assume",0.07
"call",0.07
"care",0.07
"certain",0.07
"charge",0.07
"check",0.07
"checking",0.07
"code",0.07
"companies",0.07
"computer",0.07
"consider",0.07
"crimes",0.07
"domestic",0.07
"equivalent",0.07
"give",0.07
"heavy",0.07
"import",0.07
"insist",0.07
"issued",0.07
"lack",0.07
"likely",0.07
"luggage",0.07
"make",0.07
"normal",0.07
"officers",0.07
"operator",0.07
"prices",0.07
"say",0.07
"specific",0.07
"speed",0.07
"standard",0.07
"talking",0.07
"tax",0.07
"typically",0.07
"unlikely",0.07
"valuables",0.07
"vary",0.07
"wear",0.07
"whether",0.07
