"","places"
"eat",0.17
"like",0.16
"many",0.16
"good",0.15
"find",0.14
"stay",0.14
"always",0.13
"can",0.13
"food",0.13
"place",0.13
"usually",0.13
"want",0.13
"best",0.12
"especially",0.12
"even",0.12
"go",0.12
"lot",0.12
"one",0.12
"around",0.11
"bars",0.11
"better",0.11
"cheap",0.11
"different",0.11
"drink",0.11
"expensive",0.11
"get",0.11
"might",0.11
"night",0.11
"offer",0.11
"people",0.11
"quite",0.11
"try",0.11
"visit",0.11
"will",0.11
"almost",0.1
"also",0.1
"another",0.1
"avoid",0.1
"bit",0.1
"buy",0.1
"check",0.1
"drivers",0.1
"expect",0.1
"hotels",0.1
"make",0.1
"money",0.1
"nice",0.1
"often",0.1
"plenty",0.1
"prices",0.1
"really",0.1
"see",0.1
"taxis",0.1
"things",0.1
"well",0.1
"'re",0.09
"although",0.09
"ask",0.09
"available",0.09
"away",0.09
"budget",0.09
"buses",0.09
"generally",0.09
"going",0.09
"great",0.09
"interest",0.09
"look",0.09
"lots",0.09
"may",0.09
"much",0.09
"must",0.09
"need",0.09
"popular",0.09
"quality",0.09
"rent",0.09
"safe",0.09
"several",0.09
"shops",0.09
"something",0.09
"sure",0.09
"tend",0.09
"though",0.09
"tourists",0.09
"use",0.09
"without",0.09
"'ll",0.08
"'s",0.08
"anything",0.08
"called",0.08
"certain",0.08
"cheaper",0.08
"cheapest",0.08
"cities",0.08
"close",0.08
"come",0.08
"cost",0.08
"decent",0.08
"depending",0.08
"dishes",0.08
"eating",0.08
"english",0.08
"every",0.08
"famous",0.08
"fast",0.08
"found",0.08
"getting",0.08
"help",0.08
"inside",0.08
"keep",0.08
"less",0.08
"little",0.08
"locals",0.08
"long",0.08
"looking",0.08
"near",0.08
"number",0.08
"option",0.08
"order",0.08
"others",0.08
"outside",0.08
"parts",0.08
"pay",0.08
"police",0.08
"prefer",0.08
"price",0.08
"problem",0.08
"sell",0.08
"sit",0.08
"sometimes",0.08
"spend",0.08
"taxi",0.08
"time",0.08
"top",0.08
"tourist",0.08
"travel",0.08
"typical",0.08
"variety",0.08
"worth",0.08
"able",0.07
"anyone",0.07
"beautiful",0.07
"big",0.07
"book",0.07
"carry",0.07
"choice",0.07
"clubs",0.07
"common",0.07
"companies",0.07
"definitely",0.07
"drinks",0.07
"driver",0.07
"excellent",0.07
"foreign",0.07
"helpful",0.07
"idea",0.07
"india",0.07
"just",0.07
"know",0.07
"never",0.07
"normal",0.07
"options",0.07
"paying",0.07
"range",0.07
"rather",0.07
"reasonable",0.07
"risk",0.07
"roads",0.07
"serve",0.07
"smaller",0.07
"stand",0.07
"still",0.07
"stores",0.07
"type",0.07
"types",0.07
"typically",0.07
"visiting",0.07
"way",0.07
