"","polite"
"rude",0.15
"visas",0.12
"firm",0.11
"ignore",0.11
"risk",0.11
"visa",0.11
"avoid",0.1
"currency",0.1
"tend",0.1
"tipping",0.1
"trying",0.1
"ask",0.09
"common",0.09
"countries",0.09
"embassy",0.09
"equivalent",0.09
"exchange",0.09
"expensive",0.09
"generally",0.09
"insist",0.09
"keep",0.09
"law",0.09
"money",0.09
"notes",0.09
"often",0.09
"passport",0.09
"pay",0.09
"police",0.09
"prepaid",0.09
"sim",0.09
"talking",0.09
"touts",0.09
"treated",0.09
"accept",0.08
"acceptable",0.08
"accepted",0.08
"aggressive",0.08
"apply",0.08
"ash",0.08
"asked",0.08
"buying",0.08
"card",0.08
"cards",0.08
"cheap",0.08
"citizens",0.08
"commission",0.08
"dollars",0.08
"driver",0.08
"drivers",0.08
"especially",0.08
"expect",0.08
"foreign",0.08
"illegal",0.08
"laws",0.08
"likely",0.08
"may",0.08
"motorized",0.08
"rate",0.08
"remember",0.08
"require",0.08
"required",0.08
"respect",0.08
"say",0.08
"similar",0.08
"sometimes",0.08
"tax",0.08
"tell",0.08
"try",0.08
"women",0.08
"advisable",0.07
"always",0.07
"anything",0.07
"asking",0.07
"aware",0.07
"careful",0.07
"case",0.07
"compare",0.07
"discuss",0.07
"even",0.07
"extremely",0.07
"foreigners",0.07
"issue",0.07
"language",0.07
"luggage",0.07
"make",0.07
"mobile",0.07
"need",0.07
"obtain",0.07
"official",0.07
"particular",0.07
"passports",0.07
"political",0.07
"problems",0.07
"refuse",0.07
"regardless",0.07
"sell",0.07
"sensitive",0.07
"slices",0.07
"someone",0.07
"sure",0.07
"though",0.07
"uncommon",0.07
"usually",0.07
"will",0.07
