"","pool"
"swimming",0.41
"bar",0.19
"indoor",0.19
"fitness",0.18
"free",0.17
"outdoor",0.16
"rooms",0.16
"heated",0.15
"hot",0.14
"hotel",0.14
"internet",0.14
"restaurant",0.14
"room",0.14
"table",0.14
"club",0.13
"friendly",0.13
"breakfast",0.12
"dining",0.12
"offers",0.12
"spacious",0.12
"suites",0.12
"tennis",0.12
"wireless",0.12
"boutique",0.11
"equipped",0.11
"food",0.11
"lounge",0.11
"night",0.11
"pools",0.11
"prices",0.11
"private",0.11
"selection",0.11
"tables",0.11
"villas",0.11
"apartments",0.1
"beachfront",0.1
"bungalows",0.1
"features",0.1
"full",0.1
"garden",0.1
"guests",0.1
"massage",0.1
"menu",0.1
"nice",0.1
"open",0.1
"resort",0.1
"rooftop",0.1
"serves",0.1
"spa",0.1
"staff",0.1
"terrace",0.1
"amenities",0.09
"atmosphere",0.09
"beach",0.09
"bowling",0.09
"buffet",0.09
"cable",0.09
"cocktails",0.09
"dance",0.09
"drinks",0.09
"family",0.09
"fully",0.09
"furnished",0.09
"great",0.09
"kitchen",0.09
"large",0.09
"laundry",0.09
"live",0.09
"music",0.09
"offer",0.09
"offering",0.09
"specials",0.09
"sports",0.09
"suite",0.09
"tv",0.09
"upscale",0.09
"wifi",0.09
"-room",0.08
"balcony",0.08
"bars",0.08
"cheap",0.08
"complex",0.08
"deluxe",0.08
"facilities",0.08
"floor",0.08
"fresh",0.08
"front",0.08
"fun",0.08
"games",0.08
"golf",0.08
"good",0.08
"happy",0.08
"include",0.08
"lunch",0.08
"luxury",0.08
"next",0.08
"padi",0.08
"patio",0.08
"per",0.08
"place",0.08
"play",0.08
"quiet",0.08
"range",0.08
"right",0.08
"screen",0.08
"swim",0.08
"tropical",0.08
"villa",0.08
"water",0.08
"wi-fi",0.08
"bathroom",0.07
"bedroom",0.07
"beer",0.07
"budget",0.07
"business",0.07
"children's",0.07
"chill",0.07
"clean",0.07
"cocktail",0.07
"coffee",0.07
"conference",0.07
"decent",0.07
"dinner",0.07
"dishes",0.07
"dive",0.07
"diving",0.07
"double",0.07
"excellent",0.07
"friday",0.07
"game",0.07
"grill",0.07
"hotels",0.07
"italian",0.07
"karaoke",0.07
"kids",0.07
"nights",0.07
"price",0.07
"relax",0.07
"relaxed",0.07
"relaxing",0.07
"steaks",0.07
"style",0.07
"wide",0.07
