"","poor"
"avoid",0.12
"currency",0.11
"drivers",0.11
"generally",0.11
"visa",0.11
"condition",0.1
"even",0.1
"money",0.1
"visas",0.1
"accepted",0.09
"although",0.09
"ambulance",0.09
"countries",0.09
"dangerous",0.09
"drunk",0.09
"due",0.09
"embassy",0.09
"emergency",0.09
"especially",0.09
"expect",0.09
"networks",0.09
"often",0.09
"police",0.09
"roads",0.09
"safety",0.09
"violent",0.09
"without",0.09
"accept",0.08
"apply",0.08
"better",0.08
"charge",0.08
"cheap",0.08
"common",0.08
"coverage",0.08
"crime",0.08
"eu",0.08
"exchange",0.08
"expensive",0.08
"foreign",0.08
"government",0.08
"higher",0.08
"language",0.08
"least",0.08
"may",0.08
"mostly",0.08
"must",0.08
"network",0.08
"operator",0.08
"pay",0.08
"rarely",0.08
"rate",0.08
"reception",0.08
"relatively",0.08
"safe",0.08
"seem",0.08
"sim",0.08
"situation",0.08
"standards",0.08
"women",0.08
"among",0.07
"ask",0.07
"calls",0.07
"cards",0.07
"careful",0.07
"companies",0.07
"developing",0.07
"dollars",0.07
"effect",0.07
"give",0.07
"help",0.07
"highly",0.07
"issue",0.07
"letter",0.07
"people",0.07
"populated",0.07
"receive",0.07
"require",0.07
"security",0.07
"sometimes",0.07
"use",0.07
"work",0.07
