"","popular"
"especially",0.15
"many",0.15
"among",0.14
"bars",0.13
"beaches",0.13
"offer",0.13
"often",0.13
"spot",0.13
"summer",0.13
"tourist",0.13
"tourists",0.13
"variety",0.13
"beach",0.12
"locals",0.12
"well",0.12
"always",0.11
"areas",0.11
"best",0.11
"excellent",0.11
"good",0.11
"include",0.11
"range",0.11
"throughout",0.11
"wide",0.11
"also",0.1
"bar",0.1
"busy",0.1
"common",0.1
"crowded",0.1
"even",0.1
"generally",0.1
"great",0.1
"hotels",0.1
"known",0.1
"large",0.1
"like",0.1
"music",0.1
"night",0.1
"offers",0.1
"place",0.1
"usually",0.1
"visitors",0.1
"although",0.09
"area",0.09
"become",0.09
"clubs",0.09
"companies",0.09
"different",0.09
"dishes",0.09
"drink",0.09
"due",0.09
"expensive",0.09
"famous",0.09
"find",0.09
"food",0.09
"found",0.09
"including",0.09
"long",0.09
"make",0.09
"nightlife",0.09
"number",0.09
"offering",0.09
"options",0.09
"people",0.09
"places",0.09
"prices",0.09
"quite",0.09
"restaurant",0.09
"selection",0.09
"shopping",0.09
"shops",0.09
"sometimes",0.09
"sports",0.09
"young",0.09
"'s",0.08
"activities",0.08
"another",0.08
"available",0.08
"avoid",0.08
"beer",0.08
"budget",0.08
"cheap",0.08
"check",0.08
"choice",0.08
"considered",0.08
"crowd",0.08
"cuisine",0.08
"dance",0.08
"english",0.08
"every",0.08
"experience",0.08
"fish",0.08
"friendly",0.08
"just",0.08
"live",0.08
"local",0.08
"locations",0.08
"menu",0.08
"mostly",0.08
"much",0.08
"natural",0.08
"nights",0.08
"plenty",0.08
"provide",0.08
"pubs",0.08
"quality",0.08
"seafood",0.08
"smaller",0.08
"stores",0.08
"students",0.08
"tend",0.08
"tends",0.08
"try",0.08
"unique",0.08
"various",0.08
"weekend",0.08
"across",0.07
"atmosphere",0.07
"aware",0.07
"becoming",0.07
"bit",0.07
"day",0.07
"dish",0.07
"end",0.07
"enjoy",0.07
"expect",0.07
"extremely",0.07
"fried",0.07
"hard",0.07
"high",0.07
"highly",0.07
"holiday",0.07
"however",0.07
"largest",0.07
"less",0.07
"location",0.07
"looking",0.07
"made",0.07
"makes",0.07
"modern",0.07
"network",0.07
"one",0.07
"online",0.07
"option",0.07
"outdoor",0.07
"parks",0.07
"playing",0.07
"recently",0.07
"relatively",0.07
"rice",0.07
"sandy",0.07
"sea",0.07
"serve",0.07
"serves",0.07
"several",0.07
"surfing",0.07
"top",0.07
"trendy",0.07
"types",0.07
"upscale",0.07
"use",0.07
"visiting",0.07
"widely",0.07
