"","probably"
"'ll",0.15
"want",0.15
"will",0.15
"'re",0.14
"need",0.14
"ask",0.13
"best",0.13
"better",0.13
"find",0.13
"might",0.13
"'s",0.12
"driver",0.12
"even",0.12
"expect",0.12
"expensive",0.12
"get",0.12
"least",0.12
"much",0.12
"pay",0.12
"try",0.12
"although",0.11
"bit",0.11
"good",0.11
"make",0.11
"may",0.11
"rather",0.11
"unless",0.11
"usually",0.11
"always",0.1
"buy",0.1
"cheapest",0.1
"either",0.1
"especially",0.1
"getting",0.1
"just",0.1
"keep",0.1
"likely",0.1
"locals",0.1
"money",0.1
"pretty",0.1
"really",0.1
"seem",0.1
"sell",0.1
"sometimes",0.1
"still",0.1
"way",0.1
"anything",0.09
"anywhere",0.09
"avoid",0.09
"back",0.09
"cheap",0.09
"cheaper",0.09
"check",0.09
"depending",0.09
"english",0.09
"extremely",0.09
"far",0.09
"generally",0.09
"give",0.09
"go",0.09
"going",0.09
"idea",0.09
"know",0.09
"leave",0.09
"less",0.09
"little",0.09
"look",0.09
"nice",0.09
"often",0.09
"option",0.09
"possible",0.09
"price",0.09
"prices",0.09
"quite",0.09
"see",0.09
"speak",0.09
"sure",0.09
"though",0.09
"time",0.09
"without",0.09
"worth",0.09
"able",0.08
"accept",0.08
"almost",0.08
"another",0.08
"arrange",0.08
"bring",0.08
"cards",0.08
"careful",0.08
"charge",0.08
"common",0.08
"cost",0.08
"couple",0.08
"crowded",0.08
"definitely",0.08
"drivers",0.08
"fairly",0.08
"foreign",0.08
"hard",0.08
"last",0.08
"let",0.08
"like",0.08
"long",0.08
"lot",0.08
"mind",0.08
"mostly",0.08
"next",0.08
"night",0.08
"note",0.08
"number",0.08
"outside",0.08
"paying",0.08
"pick",0.08
"problem",0.08
"problems",0.08
"remember",0.08
"safer",0.08
"someone",0.08
"something",0.08
"tell",0.08
"things",0.08
"ticket",0.08
"visa",0.08
"work",0.08
"young",0.08
"''''",0.07
"'ve",0.07
"around",0.07
"asking",0.07
"buying",0.07
"card",0.07
"cash",0.07
"certainly",0.07
"change",0.07
"currency",0.07
"drunk",0.07
"embassy",0.07
"end",0.07
"exchange",0.07
"fact",0.07
"foreigners",0.07
"help",0.07
"higher",0.07
"longer",0.07
"never",0.07
"nothing",0.07
"ones",0.07
"people",0.07
"perhaps",0.07
"place",0.07
"possibly",0.07
"prepared",0.07
"real",0.07
"return",0.07
"seems",0.07
"stay",0.07
"taxi",0.07
"tend",0.07
"tickets",0.07
"tourists",0.07
"traffic",0.07
"wait",0.07
