"","problems"
"visa",0.14
"avoid",0.13
"cause",0.12
"common",0.12
"crime",0.12
"generally",0.12
"serious",0.12
"visas",0.12
"currency",0.11
"police",0.11
"problem",0.11
"safe",0.11
"sim",0.11
"speak",0.11
"accept",0.1
"accepted",0.1
"card",0.1
"cards",0.1
"countries",0.1
"english",0.1
"even",0.1
"exchange",0.1
"foreign",0.1
"illegal",0.1
"keep",0.1
"likely",0.1
"may",0.1
"money",0.1
"often",0.1
"passport",0.1
"pay",0.1
"political",0.1
"require",0.1
"risk",0.1
"tipping",0.1
"usually",0.1
"valid",0.1
"violent",0.1
"wear",0.1
"although",0.09
"applies",0.09
"apply",0.09
"aware",0.09
"drivers",0.09
"especially",0.09
"expensive",0.09
"getting",0.09
"insurance",0.09
"know",0.09
"language",0.09
"languages",0.09
"less",0.09
"much",0.09
"note",0.09
"obtain",0.09
"offices",0.09
"people",0.09
"prepaid",0.09
"rarely",0.09
"sure",0.09
"tend",0.09
"unlikely",0.09
"widely",0.09
"''''",0.08
"'re",0.08
"always",0.08
"anything",0.08
"better",0.08
"buying",0.08
"case",0.08
"cases",0.08
"caution",0.08
"certain",0.08
"cheaper",0.08
"citizens",0.08
"coins",0.08
"despite",0.08
"driver",0.08
"driving",0.08
"due",0.08
"embassy",0.08
"encounter",0.08
"ensure",0.08
"expect",0.08
"give",0.08
"health",0.08
"higher",0.08
"instead",0.08
"issue",0.08
"make",0.08
"might",0.08
"mind",0.08
"mobile",0.08
"official",0.08
"officials",0.08
"prices",0.08
"probably",0.08
"rate",0.08
"rude",0.08
"security",0.08
"someone",0.08
"sometimes",0.08
"speakers",0.08
"spoken",0.08
"theft",0.08
"traffic",0.08
"travel",0.08
"travellers",0.08
"try",0.08
"uncommon",0.08
"unless",0.08
"use",0.08
"widespread",0.08
"will",0.08
"without",0.08
"work",0.08
"areas",0.07
"asking",0.07
"careful",0.07
"cash",0.07
"change",0.07
"dialect",0.07
"dollars",0.07
"ethnic",0.07
"extremely",0.07
"finding",0.07
"insist",0.07
"issued",0.07
"legal",0.07
"medical",0.07
"must",0.07
"nation",0.07
"need",0.07
"parts",0.07
"passports",0.07
"paying",0.07
"polite",0.07
"politics",0.07
"price",0.07
"refuse",0.07
"report",0.07
"respect",0.07
"seem",0.07
"simply",0.07
"though",0.07
"trying",0.07
"using",0.07
