"","pub"
"irish",0.23
"pubs",0.21
"bar",0.19
"ales",0.17
"music",0.16
"street",0.16
"restaurant",0.15
"selection",0.15
"beer",0.14
"beers",0.14
"live",0.14
"st",0.14
"food",0.13
"house",0.13
"menu",0.13
"pint",0.13
"atmosphere",0.12
"cafe",0.12
"centre",0.12
"london",0.12
"shopping",0.12
"ale",0.11
"friendly",0.11
"inn",0.11
"saturday",0.11
"serves",0.11
"bands",0.1
"club",0.1
"great",0.1
"lounge",0.1
"lunch",0.1
"nights",0.1
"phone",0.1
"real",0.1
"arms",0.09
"arts",0.09
"bistro",0.09
"chips",0.09
"cuisine",0.09
"dining",0.09
"fine",0.09
"friday",0.09
"gallery",0.09
"guinness",0.09
"indoor",0.09
"italian",0.09
"lane",0.09
"nightclub",0.09
"pizza",0.09
"rd",0.09
"serving",0.09
"shop",0.09
"sports",0.09
"style",0.09
"sunday",0.09
"takeaway",0.09
"tavern",0.09
"upstairs",0.09
"venue",0.09
"victorian",0.09
"ave",0.08
"award",0.08
"brew",0.08
"brewery",0.08
"busy",0.08
"chain",0.08
"crowd",0.08
"cycle",0.08
"downstairs",0.08
"family",0.08
"football",0.08
"free",0.08
"high",0.08
"kids",0.08
"mall",0.08
"market",0.08
"mile",0.08
"open",0.08
"outdoor",0.08
"parking",0.08
"play",0.08
"plays",0.08
"range",0.08
"sandwiches",0.08
"seating",0.08
"theatre",0.08
"tuesday",0.08
"uk",0.08
"victoria",0.08
"weekends",0.08
"wide",0.08
"winning",0.08
"craft",0.07
"deli",0.07
"downtown",0.07
"england",0.07
"events",0.07
"excellent",0.07
"good",0.07
"grill",0.07
"leisure",0.07
"lively",0.07
"night",0.07
"offers",0.07
"quay",0.07
"shops",0.07
"specials",0.07
"store",0.07
"trendy",0.07
"variety",0.07
"weekend",0.07
