"","rate"
"crime",0.21
"exchange",0.2
"currency",0.18
"drivers",0.16
"money",0.16
"visa",0.16
"accept",0.15
"avoid",0.15
"pay",0.15
"careful",0.14
"dollars",0.14
"charge",0.13
"countries",0.13
"driver",0.13
"foreign",0.13
"passport",0.13
"police",0.13
"prepaid",0.13
"rates",0.13
"sim",0.13
"visas",0.13
"ask",0.12
"atms",0.12
"card",0.12
"cards",0.12
"common",0.12
"cost",0.12
"embassy",0.12
"expensive",0.12
"higher",0.12
"official",0.12
"often",0.12
"paying",0.12
"per",0.12
"price",0.12
"prices",0.12
"safe",0.12
"taxis",0.12
"usually",0.12
"accepted",0.11
"cash",0.11
"cheaper",0.11
"check",0.11
"generally",0.11
"illegal",0.11
"note",0.11
"notes",0.11
"sure",0.11
"taxi",0.11
"violent",0.11
"always",0.1
"applies",0.1
"apply",0.1
"areas",0.1
"better",0.1
"carry",0.1
"change",0.1
"cheap",0.1
"citizens",0.1
"commission",0.1
"compared",0.1
"consulate",0.1
"credit",0.1
"especially",0.1
"european",0.1
"even",0.1
"expect",0.1
"extra",0.1
"extremely",0.1
"fare",0.1
"fixed",0.1
"government",0.1
"hospitals",0.1
"internet",0.1
"keep",0.1
"know",0.1
"luggage",0.1
"may",0.1
"medical",0.1
"might",0.1
"mobile",0.1
"need",0.1
"normal",0.1
"offices",0.1
"prepared",0.1
"require",0.1
"risk",0.1
"similar",0.1
"someone",0.1
"sometimes",0.1
"tax",0.1
"tend",0.1
"tipping",0.1
"typically",0.1
"widely",0.1
"women",0.1
"advisable",0.09
"almost",0.09
"although",0.09
"amount",0.09
"arrival",0.09
"asking",0.09
"aware",0.09
"budget",0.09
"buy",0.09
"cautious",0.09
"certain",0.09
"cheapest",0.09
"companies",0.09
"crimes",0.09
"customs",0.09
"dollar",0.09
"foreigners",0.09
"getting",0.09
"give",0.09
"hard",0.09
"hotels",0.09
"incidents",0.09
"insist",0.09
"insurance",0.09
"issue",0.09
"language",0.09
"legal",0.09
"like",0.09
"low",0.09
"meat",0.09
"must",0.09
"negotiate",0.09
"normally",0.09
"numbers",0.09
"obtain",0.09
"obtained",0.09
"offer",0.09
"paid",0.09
"passengers",0.09
"passports",0.09
"person",0.09
"problem",0.09
"quality",0.09
"rarely",0.09
"refuse",0.09
"remember",0.09
"required",0.09
"say",0.09
"security",0.09
"stay",0.09
"surcharge",0.09
"though",0.09
"tourists",0.09
"traffic",0.09
"travel",0.09
"try",0.09
"unless",0.09
"use",0.09
"valid",0.09
"widespread",0.09
"will",0.09
"without",0.09
"able",0.08
"accidents",0.08
"additional",0.08
"aggressive",0.08
"agree",0.08
"air",0.08
"anywhere",0.08
"asian",0.08
"atm",0.08
"average",0.08
"bargaining",0.08
"bills",0.08
"bit",0.08
"bottle",0.08
"bottled",0.08
"buying",0.08
"cause",0.08
"caution",0.08
"clean",0.08
"country's",0.08
"debit",0.08
"depending",0.08
"difficult",0.08
"discuss",0.08
"dish",0.08
"drinks",0.08
"drugs",0.08
"drunk",0.08
"due",0.08
"either",0.08
"english",0.08
"ensure",0.08
"expected",0.08
"eye",0.08
"fares",0.08
"find",0.08
"given",0.08
"going",0.08
"health",0.08
"help",0.08
"highly",0.08
"idea",0.08
"individual",0.08
"instead",0.08
"issues",0.08
"least",0.08
"leave",0.08
"less",0.08
"license",0.08
"locals",0.08
"longer",0.08
"make",0.08
"men",0.08
"mind",0.08
"nationals",0.08
"night",0.08
"payment",0.08
"people",0.08
"phones",0.08
"polite",0.08
"poor",0.08
"problems",0.08
"purchase",0.08
"put",0.08
"recent",0.08
"relatively",0.08
"report",0.08
"respect",0.08
"rooftop",0.08
"room",0.08
"rules",0.08
"safety",0.08
"secure",0.08
"sell",0.08
"serve",0.08
"slightly",0.08
"speak",0.08
"staff",0.08
"standard",0.08
"tap",0.08
"tell",0.08
"terminal",0.08
"tickets",0.08
"travellers",0.08
"treatment",0.08
"unlike",0.08
"wait",0.08
"waiting",0.08
"want",0.08
"whether",0.08
"willing",0.08
"wise",0.08
"work",0.08
"acceptable",0.07
"advance",0.07
"advised",0.07
"agent",0.07
"airlines",0.07
"allowed",0.07
"another",0.07
"anything",0.07
"asked",0.07
"avoided",0.07
"bargain",0.07
"brands",0.07
"call",0.07
"care",0.07
"case",0.07
"charged",0.07
"coins",0.07
"costs",0.07
"criminal",0.07
"customary",0.07
"december",0.07
"different",0.07
"dishes",0.07
"domestic",0.07
"drink",0.07
"driver's",0.07
"dropped",0.07
"drug",0.07
"embassies",0.07
"enter",0.07
"entry",0.07
"equivalent",0.07
"eu",0.07
"exception",0.07
"include",0.07
"income",0.07
"late",0.07
"law",0.07
"let",0.07
"making",0.07
"markets",0.07
"maximum",0.07
"means",0.07
"monthly",0.07
"much",0.07
"never",0.07
"operate",0.07
"outside",0.07
"pick",0.07
"plate",0.07
"political",0.07
"process",0.07
"purchased",0.07
"quite",0.07
"quoted",0.07
"rather",0.07
"reasonable",0.07
"receive",0.07
"reduced",0.07
"rooms",0.07
"rule",0.07
"save",0.07
"seek",0.07
"seem",0.07
"simply",0.07
"situation",0.07
"stick",0.07
"system",0.07
"terminals",0.07
"thumb",0.07
"ticket",0.07
"ubiquitous",0.07
"uncommon",0.07
"using",0.07
"valuables",0.07
"vendors",0.07
"wary",0.07
"wear",0.07
