"","real"
"ales",0.19
"ale",0.15
"el",0.11
"food",0.1
"good",0.1
"pub",0.1
"friendly",0.09
"pubs",0.09
"quality",0.09
"worth",0.09
"'re",0.08
"'s",0.08
"bar",0.08
"bars",0.08
"beer",0.08
"cheap",0.08
"clubs",0.08
"especially",0.08
"excellent",0.08
"expect",0.08
"feel",0.08
"francisco",0.08
"need",0.08
"pay",0.08
"plaza",0.08
"price",0.08
"prices",0.08
"sure",0.08
"try",0.08
"want",0.08
"choice",0.07
"drink",0.07
"english",0.07
"even",0.07
"great",0.07
"keep",0.07
"little",0.07
"live",0.07
"look",0.07
"make",0.07
"music",0.07
"night",0.07
"often",0.07
"plenty",0.07
"probably",0.07
"range",0.07
"selection",0.07
"serve",0.07
"staff",0.07
"trendy",0.07
"usually",0.07
"without",0.07
