"","receive"
"passport",0.15
"visa",0.13
"card",0.11
"currency",0.11
"pay",0.11
"sim",0.11
"accept",0.1
"cards",0.1
"citizens",0.1
"debit",0.1
"exchange",0.1
"generally",0.1
"money",0.1
"visas",0.1
"accepted",0.09
"apply",0.09
"ask",0.09
"coins",0.09
"countries",0.09
"drivers",0.09
"embassy",0.09
"foreign",0.09
"keep",0.09
"make",0.09
"notes",0.09
"paid",0.09
"paying",0.09
"police",0.09
"prepaid",0.09
"require",0.09
"tipping",0.09
"use",0.09
"always",0.08
"atms",0.08
"avoid",0.08
"bills",0.08
"buying",0.08
"carrying",0.08
"charge",0.08
"credit",0.08
"discount",0.08
"driver",0.08
"ensure",0.08
"entering",0.08
"expected",0.08
"foreigners",0.08
"holders",0.08
"illegal",0.08
"insurance",0.08
"may",0.08
"need",0.08
"normal",0.08
"note",0.08
"obtain",0.08
"official",0.08
"often",0.08
"payment",0.08
"respect",0.08
"risk",0.08
"sometimes",0.08
"sure",0.08
"write",0.08
"anything",0.07
"asked",0.07
"aware",0.07
"basic",0.07
"carry",0.07
"cash",0.07
"common",0.07
"days",0.07
"develop",0.07
"discuss",0.07
"especially",0.07
"gsm",0.07
"help",0.07
"higher",0.07
"issued",0.07
"know",0.07
"legal",0.07
"members",0.07
"might",0.07
"mind",0.07
"ministry",0.07
"mobile",0.07
"passports",0.07
"permission",0.07
"political",0.07
"poor",0.07
"purchase",0.07
"rate",0.07
"rule",0.07
"security",0.07
"serve",0.07
"sold",0.07
"strictly",0.07
"tax",0.07
"tend",0.07
"thumb",0.07
"usually",0.07
"will",0.07
