"","recently"
"renovated",0.19
"opened",0.13
"undergone",0.13
"excellent",0.09
"music",0.09
"recent",0.09
"renovation",0.09
"although",0.08
"bar",0.08
"bars",0.08
"become",0.08
"business",0.08
"expect",0.08
"food",0.08
"generally",0.08
"include",0.08
"menu",0.08
"new",0.08
"night",0.08
"now",0.08
"offer",0.08
"often",0.08
"reasonable",0.08
"shopping",0.08
"stadium",0.08
"still",0.08
"though",0.08
"worth",0.08
"always",0.07
"avoid",0.07
"cheap",0.07
"even",0.07
"expensive",0.07
"including",0.07
"live",0.07
"modern",0.07
"number",0.07
"popular",0.07
"prices",0.07
"range",0.07
"restaurant",0.07
"selection",0.07
"staff",0.07
"traffic",0.07
