"","reef"
"coral",0.39
"dive",0.35
"snorkeling",0.31
"diving",0.26
"snorkel",0.25
"sharks",0.24
"divers",0.22
"padi",0.21
"dives",0.18
"barrier",0.17
"marine",0.17
"reefs",0.17
"scuba",0.17
"tropical",0.17
"shallow",0.16
"underwater",0.15
"beach",0.14
"island",0.14
"bungalows",0.13
"boat",0.12
"caribbean",0.12
"fish",0.12
"islands",0.12
"offshore",0.12
"shark",0.12
"turtles",0.12
"cook",0.11
"resorts",0.11
"adventures",0.1
"currents",0.1
"resort",0.1
"soft",0.1
"swim",0.1
"villas",0.1
"visibility",0.1
"break",0.09
"lagoon",0.09
"ocean",0.09
"sand",0.09
"sea",0.09
"surf",0.09
"transfers",0.09
"waters",0.09
"australian",0.08
"bay",0.08
"beaches",0.08
"beachfront",0.08
"bottom",0.08
"captain",0.08
"certified",0.08
"equipment",0.08
"fishing",0.08
"operators",0.08
"palm",0.08
"sandy",0.08
"sunset",0.08
"trips",0.08
"turtle",0.08
"water",0.08
"coconut",0.07
"gear",0.07
"habitat",0.07
"island's",0.07
"overseas",0.07
"pristine",0.07
"sq",0.07
"surfing",0.07
