"","refuse"
"visa",0.15
"visas",0.15
"drivers",0.14
"money",0.14
"accept",0.13
"countries",0.13
"embassy",0.13
"insist",0.13
"passport",0.13
"currency",0.12
"driver",0.12
"notes",0.12
"pay",0.12
"paying",0.12
"avoid",0.11
"cards",0.11
"charge",0.11
"ministry",0.11
"police",0.11
"security",0.11
"sim",0.11
"situation",0.11
"accepted",0.1
"aware",0.1
"card",0.1
"coins",0.1
"credit",0.1
"exchange",0.1
"expensive",0.1
"foreign",0.1
"give",0.1
"illegal",0.1
"know",0.1
"mobile",0.1
"prepaid",0.1
"price",0.1
"problem",0.1
"rarely",0.1
"tipping",0.1
"without",0.1
"able",0.09
"apply",0.09
"ask",0.09
"atms",0.09
"bills",0.09
"certain",0.09
"citizens",0.09
"common",0.09
"even",0.09
"expect",0.09
"fake",0.09
"fixed",0.09
"foreigners",0.09
"generally",0.09
"idea",0.09
"insurance",0.09
"issues",0.09
"keep",0.09
"latin",0.09
"likely",0.09
"nationals",0.09
"obtain",0.09
"payment",0.09
"rate",0.09
"remember",0.09
"rules",0.09
"similar",0.09
"someone",0.09
"sometimes",0.09
"sure",0.09
"use",0.09
"widely",0.09
"women",0.09
"afraid",0.08
"agree",0.08
"always",0.08
"applies",0.08
"asked",0.08
"asking",0.08
"assume",0.08
"bags",0.08
"bother",0.08
"buying",0.08
"calls",0.08
"careful",0.08
"cash",0.08
"charges",0.08
"cheap",0.08
"consulate",0.08
"cost",0.08
"data",0.08
"discuss",0.08
"drugs",0.08
"equivalent",0.08
"especially",0.08
"fare",0.08
"government",0.08
"instead",0.08
"least",0.08
"legal",0.08
"let",0.08
"may",0.08
"medical",0.08
"meter",0.08
"might",0.08
"never",0.08
"numbers",0.08
"officer",0.08
"officers",0.08
"offices",0.08
"official",0.08
"often",0.08
"paid",0.08
"phones",0.08
"political",0.08
"prices",0.08
"require",0.08
"rule",0.08
"say",0.08
"sell",0.08
"simply",0.08
"taxi",0.08
"taxis",0.08
"tell",0.08
"tends",0.08
"ubiquitous",0.08
"usually",0.08
"valid",0.08
"wallet",0.08
"will",0.08
"willing",0.08
"work",0.08
"written",0.08
"''''",0.07
"acceptable",0.07
"arabic",0.07
"belongings",0.07
"better",0.07
"bottled",0.07
"brands",0.07
"carry",0.07
"case",0.07
"change",0.07
"clubs",0.07
"companies",0.07
"consider",0.07
"cover",0.07
"dealing",0.07
"demand",0.07
"exception",0.07
"extra",0.07
"given",0.07
"issue",0.07
"job",0.07
"law",0.07
"look",0.07
"note",0.07
"passports",0.07
"polite",0.07
"problems",0.07
"regardless",0.07
"reports",0.07
"rude",0.07
"tend",0.07
"unlikely",0.07
"want",0.07
"wary",0.07
"wear",0.07
