"","regional"
"airport",0.12
"airport'''",0.12
"transit",0.12
"amtrak",0.1
"hub",0.1
"major",0.1
"service",0.1
"art",0.09
"cities",0.09
"interstate",0.09
"public",0.09
"region",0.09
"region's",0.09
"served",0.09
"trains",0.09
"airports",0.08
"areas",0.08
"center",0.08
"city",0.08
"downtown",0.08
"flights",0.08
"historic",0.08
"history",0.08
"lines",0.08
"museum",0.08
"network",0.08
"routes",0.08
"united",0.08
"university",0.08
"american",0.07
"city's",0.07
"german",0.07
"germany",0.07
"including",0.07
"system",0.07
"throughout",0.07
"wine",0.07
