"","ride"
"costs",0.15
"will",0.15
"cost",0.14
"take",0.14
"ask",0.13
"boat",0.13
"bus",0.13
"driver",0.13
"get",0.13
"minute",0.13
"pay",0.13
"sure",0.13
"takes",0.13
"taxi",0.13
"depending",0.12
"drivers",0.12
"make",0.12
"short",0.12
"want",0.12
"bike",0.11
"can",0.11
"fare",0.11
"go",0.11
"hour",0.11
"leave",0.11
"ticket",0.11
"trip",0.11
"try",0.11
"walk",0.11
"around",0.1
"expensive",0.1
"hitch",0.1
"look",0.1
"may",0.1
"price",0.1
"prices",0.1
"rent",0.1
"rides",0.1
"way",0.1
"able",0.09
"always",0.09
"arrange",0.09
"back",0.09
"buy",0.09
"cable",0.09
"catch",0.09
"cheaper",0.09
"day",0.09
"even",0.09
"expect",0.09
"find",0.09
"going",0.09
"hours",0.09
"night",0.09
"note",0.09
"offer",0.09
"option",0.09
"per",0.09
"right",0.09
"see",0.09
"sell",0.09
"stop",0.09
"tickets",0.09
"usually",0.09
"without",0.09
"'ll",0.08
"'re",0.08
"'s",0.08
"across",0.08
"another",0.08
"avoid",0.08
"bars",0.08
"bikes",0.08
"bit",0.08
"boats",0.08
"charge",0.08
"cheap",0.08
"check",0.08
"clean",0.08
"departure",0.08
"either",0.08
"enjoy",0.08
"experience",0.08
"free",0.08
"getting",0.08
"helpful",0.08
"instead",0.08
"just",0.08
"know",0.08
"leaves",0.08
"less",0.08
"like",0.08
"locals",0.08
"might",0.08
"min",0.08
"minutes",0.08
"money",0.08
"motorbike",0.08
"need",0.08
"nice",0.08
"often",0.08
"paying",0.08
"pick",0.08
"run",0.08
"save",0.08
"staff",0.08
"stay",0.08
"taking",0.08
"taxis",0.08
"terminal",0.08
"time",0.08
"tourists",0.08
"train",0.08
"wait",0.08
"watch",0.08
"better",0.07
"bring",0.07
"buses",0.07
"cab",0.07
"easy",0.07
"english",0.07
"fee",0.07
"ferry",0.07
"give",0.07
"guide",0.07
"inside",0.07
"least",0.07
"little",0.07
"long",0.07
"longer",0.07
"next",0.07
"passengers",0.07
"quite",0.07
"sit",0.07
"sometimes",0.07
"start",0.07
"tour",0.07
"use",0.07
"waiting",0.07
"worth",0.07
