"","right"
"turn",0.38
"left",0.33
"onto",0.21
"next",0.19
"follow",0.18
"take",0.18
"will",0.16
"go",0.15
"hand",0.15
"straight",0.15
"friendly",0.14
"get",0.14
"just",0.14
"side",0.14
"sign",0.14
"'s",0.13
"continue",0.13
"exit",0.13
"front",0.13
"great",0.13
"nice",0.13
"'ll",0.12
"across",0.12
"free",0.12
"look",0.12
"make",0.12
"past",0.12
"prices",0.12
"restaurant",0.12
"see",0.12
"walk",0.12
"want",0.12
"'re",0.11
"always",0.11
"find",0.11
"food",0.11
"good",0.11
"keep",0.11
"little",0.11
"looking",0.11
"menu",0.11
"parking",0.11
"road",0.11
"rooms",0.11
"sure",0.11
"towards",0.11
"way",0.11
"another",0.1
"ask",0.1
"back",0.1
"bar",0.1
"behind",0.1
"best",0.1
"bit",0.1
"cheap",0.1
"clean",0.1
"end",0.1
"enter",0.1
"entrance",0.1
"fun",0.1
"head",0.1
"internet",0.1
"lunch",0.1
"need",0.1
"night",0.1
"place",0.1
"room",0.1
"signs",0.1
"traffic",0.1
"views",0.1
"along",0.09
"breakfast",0.09
"check",0.09
"come",0.09
"corner",0.09
"cost",0.09
"day",0.09
"dinner",0.09
"even",0.09
"everything",0.09
"expensive",0.09
"family",0.09
"going",0.09
"lot",0.09
"might",0.09
"order",0.09
"outside",0.09
"owner",0.09
"pay",0.09
"per",0.09
"price",0.09
"private",0.09
"rd",0.09
"really",0.09
"ride",0.09
"selection",0.09
"shop",0.09
"sit",0.09
"staff",0.09
"start",0.09
"toward",0.09
"try",0.09
"usually",0.09
"wait",0.09
"walking",0.09
"watch",0.09
"without",0.09
"worth",0.09
"'ve",0.08
"ahead",0.08
"atmosphere",0.08
"beach",0.08
"block",0.08
"bring",0.08
"can",0.08
"coffee",0.08
"cozy",0.08
"cross",0.08
"delicious",0.08
"door",0.08
"drinks",0.08
"enjoy",0.08
"every",0.08
"excellent",0.08
"expect",0.08
"feel",0.08
"fresh",0.08
"full",0.08
"help",0.08
"inside",0.08
"know",0.08
"live",0.08
"minutes",0.08
"money",0.08
"offer",0.08
"offers",0.08
"open",0.08
"perfect",0.08
"person",0.08
"pick",0.08
"pizza",0.08
"pool",0.08
"quite",0.08
"reasonable",0.08
"rent",0.08
"roundabout",0.08
"seafood",0.08
"seating",0.08
"set",0.08
"shopping",0.08
"shops",0.08
"stay",0.08
"stop",0.08
"store",0.08
"street",0.08
"tell",0.08
"terminal",0.08
"time",0.08
"top",0.08
"use",0.08
"variety",0.08
"away",0.07
"balcony",0.07
"beer",0.07
"better",0.07
"big",0.07
"book",0.07
"bottom",0.07
"charge",0.07
"cheaper",0.07
"close",0.07
"crowded",0.07
"definitely",0.07
"dining",0.07
"directly",0.07
"dorm",0.07
"double",0.07
"drive",0.07
"fee",0.07
"first",0.07
"floor",0.07
"happy",0.07
"hard",0.07
"hostel",0.07
"hotel",0.07
"less",0.07
"light",0.07
"like",0.07
"meal",0.07
"opposite",0.07
"option",0.07
"plan",0.07
"plenty",0.07
"rental",0.07
"sell",0.07
"spacious",0.07
"taking",0.07
"wide",0.07
"wifi",0.07
