"","risk"
"avoid",0.16
"embassy",0.15
"countries",0.14
"dangerous",0.14
"generally",0.14
"visas",0.14
"carry",0.13
"insurance",0.13
"visa",0.13
"currency",0.12
"drivers",0.12
"even",0.12
"passport",0.12
"safe",0.12
"seek",0.12
"widely",0.12
"although",0.11
"always",0.11
"cards",0.11
"common",0.11
"extremely",0.11
"foreigner",0.11
"legal",0.11
"likely",0.11
"money",0.11
"must",0.11
"passports",0.11
"polite",0.11
"political",0.11
"respect",0.11
"serious",0.11
"tap",0.11
"violent",0.11
"wear",0.11
"westerners",0.11
"without",0.11
"apply",0.1
"areas",0.1
"aware",0.1
"careful",0.1
"dollars",0.1
"driver",0.1
"drugs",0.1
"especially",0.1
"expect",0.1
"foreign",0.1
"getting",0.1
"illegal",0.1
"keep",0.1
"may",0.1
"often",0.1
"pay",0.1
"police",0.1
"problems",0.1
"rate",0.1
"require",0.1
"sometimes",0.1
"sure",0.1
"theft",0.1
"tipping",0.1
"treated",0.1
"usually",0.1
"''''''",0.09
"accept",0.09
"accepted",0.09
"advised",0.09
"ask",0.09
"attacks",0.09
"bottled",0.09
"cases",0.09
"cause",0.09
"certain",0.09
"cheaper",0.09
"citizens",0.09
"compared",0.09
"consider",0.09
"considered",0.09
"difficult",0.09
"driving",0.09
"embassies",0.09
"exception",0.09
"expected",0.09
"exposed",0.09
"foreigners",0.09
"heat",0.09
"higher",0.09
"however",0.09
"issued",0.09
"know",0.09
"languages",0.09
"make",0.09
"might",0.09
"nationals",0.09
"need",0.09
"note",0.09
"obtain",0.09
"official",0.09
"paying",0.09
"payment",0.09
"phones",0.09
"prepaid",0.09
"problem",0.09
"rarely",0.09
"reduce",0.09
"required",0.09
"rules",0.09
"security",0.09
"sensitive",0.09
"sim",0.09
"someone",0.09
"tend",0.09
"tends",0.09
"uncommon",0.09
"unless",0.09
"use",0.09
"words",0.09
"able",0.08
"advance",0.08
"advise",0.08
"allow",0.08
"almost",0.08
"anything",0.08
"applies",0.08
"asking",0.08
"atms",0.08
"attempt",0.08
"bring",0.08
"card",0.08
"care",0.08
"carrying",0.08
"case",0.08
"charge",0.08
"check",0.08
"checks",0.08
"coins",0.08
"danger",0.08
"difference",0.08
"due",0.08
"enter",0.08
"entering",0.08
"european",0.08
"exchange",0.08
"expensive",0.08
"extra",0.08
"give",0.08
"glasses",0.08
"government",0.08
"help",0.08
"issue",0.08
"language",0.08
"laws",0.08
"less",0.08
"medical",0.08
"mind",0.08
"mosquito",0.08
"never",0.08
"normally",0.08
"notes",0.08
"numbers",0.08
"officials",0.08
"parts",0.08
"plan",0.08
"possession",0.08
"receive",0.08
"regardless",0.08
"regions",0.08
"safety",0.08
"save",0.08
"shade",0.08
"since",0.08
"situation",0.08
"something",0.08
"threat",0.08
"tourist",0.08
"tourists",0.08
"traffic",0.08
"travelling",0.08
"valid",0.08
"valuables",0.08
"violence",0.08
"want",0.08
"widespread",0.08
"will",0.08
"'re",0.07
"accidents",0.07
"account",0.07
"alcohol",0.07
"allowed",0.07
"amount",0.07
"assume",0.07
"better",0.07
"bills",0.07
"buying",0.07
"cash",0.07
"charged",0.07
"crime",0.07
"fairly",0.07
"falling",0.07
"hospitals",0.07
"idea",0.07
"insist",0.07
"least",0.07
"locals",0.07
"longer",0.07
"majority",0.07
"nations",0.07
"officers",0.07
"people",0.07
"places",0.07
"reports",0.07
"roads",0.07
"rude",0.07
"safer",0.07
"skin",0.07
"sold",0.07
"stay",0.07
"travel",0.07
"travelers",0.07
"travellers",0.07
"trying",0.07
"typically",0.07
"vehicles",0.07
"women",0.07
