"","roads"
"driving",0.13
"often",0.13
"especially",0.12
"even",0.12
"road",0.12
"generally",0.11
"smaller",0.11
"traffic",0.11
"avoid",0.1
"common",0.1
"condition",0.1
"dirt",0.1
"may",0.1
"paved",0.1
"travel",0.1
"use",0.1
"although",0.09
"always",0.09
"areas",0.09
"car",0.09
"drivers",0.09
"due",0.09
"gravel",0.09
"major",0.09
"make",0.09
"narrow",0.09
"network",0.09
"poor",0.09
"regions",0.09
"vehicle",0.09
"without",0.09
"carry",0.08
"cars",0.08
"countries",0.08
"difficult",0.08
"distances",0.08
"expect",0.08
"extremely",0.08
"getting",0.08
"good",0.08
"hard",0.08
"highways",0.08
"however",0.08
"idea",0.08
"illegal",0.08
"lack",0.08
"larger",0.08
"lead",0.08
"like",0.08
"limit",0.08
"many",0.08
"might",0.08
"mountains",0.08
"much",0.08
"note",0.08
"people",0.08
"petrol",0.08
"police",0.08
"require",0.08
"safe",0.08
"several",0.08
"sometimes",0.08
"towns",0.08
"usually",0.08
"vehicles",0.08
"way",0.08
"widely",0.08
"will",0.08
"apply",0.07
"aware",0.07
"care",0.07
"conditions",0.07
"connecting",0.07
"crime",0.07
"exception",0.07
"higher",0.07
"keep",0.07
"leading",0.07
"least",0.07
"majority",0.07
"means",0.07
"mind",0.07
"mobile",0.07
"parts",0.07
"places",0.07
"quite",0.07
"rarely",0.07
"risk",0.07
"routes",0.07
"rural",0.07
"serious",0.07
"speed",0.07
"still",0.07
"sure",0.07
"tend",0.07
"unless",0.07
"unpaved",0.07
"visa",0.07
"weather",0.07
"winding",0.07
