"","roman"
"romans",0.21
"ancient",0.2
"catholic",0.18
"rome",0.18
"ruins",0.18
"century",0.17
"byzantine",0.14
"medieval",0.14
"basilica",0.13
"cathedral",0.13
"church",0.13
"italy",0.13
"remains",0.13
"walls",0.13
"di",0.12
"gothic",0.12
"mosaic",0.12
"ad",0.11
"baths",0.11
"emperor",0.11
"preserved",0.11
"romanesque",0.11
"villa",0.11
"baroque",0.1
"built",0.1
"castle",0.1
"churches",0.1
"columns",0.1
"dei",0.1
"della",0.1
"hungarian",0.1
"piazza",0.1
"bc",0.09
"dating",0.09
"european",0.09
"excavated",0.09
"important",0.09
"modern",0.09
"name",0.09
"rebuilt",0.09
"saint",0.09
"celtic",0.08
"christian",0.08
"collection",0.08
"destroyed",0.08
"empire",0.08
"euros",0.08
"holy",0.08
"impressive",0.08
"middle",0.08
"old",0.08
"protestant",0.08
"remnants",0.08
"residence",0.08
"site",0.08
"thermal",0.08
"today",0.08
"turkish",0.08
"used",0.08
"world",0.08
"altar",0.07
"building",0.07
"chapel",0.07
"et",0.07
"europe",0.07
"former",0.07
"greek",0.07
"jewish",0.07
"maria",0.07
"now",0.07
"ottoman",0.07
"rule",0.07
"tower",0.07
