"","rooftop"
"rooms",0.12
"helpful",0.11
"roof",0.11
"terrace",0.11
"block",0.1
"classes",0.1
"clean",0.1
"internet",0.1
"owner",0.1
"pool",0.1
"staff",0.1
"boutique",0.09
"courtyard",0.09
"double",0.09
"floor",0.09
"friendly",0.09
"furnished",0.09
"laundry",0.09
"lounge",0.09
"massage",0.09
"room",0.09
"wi-fi",0.09
"bar",0.08
"bathroom",0.08
"beachfront",0.08
"blocks",0.08
"budget",0.08
"buffet",0.08
"dorm",0.08
"equipped",0.08
"floors",0.08
"free",0.08
"menu",0.08
"night",0.08
"pay",0.08
"price",0.08
"prices",0.08
"rate",0.08
"restaurant",0.08
"rickshaw",0.08
"standard",0.08
"sunset",0.08
"try",0.08
"vegetarian",0.08
"views",0.08
"wifi",0.08
"yoga",0.08
"authentic",0.07
"balcony",0.07
"bit",0.07
"breakfast",0.07
"charge",0.07
"cheap",0.07
"cocktails",0.07
"coffee",0.07
"decent",0.07
"dishes",0.07
"drivers",0.07
"expensive",0.07
"food",0.07
"guesthouse",0.07
"music",0.07
"nice",0.07
"noon",0.07
"private",0.07
"selection",0.07
"tasty",0.07
"trendy",0.07
"view",0.07
