"","rooms"
"double",0.32
"hotel",0.31
"room",0.29
"bathroom",0.25
"clean",0.25
"bathrooms",0.24
"breakfast",0.24
"internet",0.24
"tv",0.24
"private",0.21
"cable",0.2
"free",0.2
"equipped",0.19
"friendly",0.18
"guest",0.18
"shared",0.18
"single",0.18
"beds",0.17
"per",0.17
"restaurant",0.17
"spacious",0.17
"guesthouse",0.16
"pool",0.16
"shower",0.16
"balcony",0.15
"budget",0.15
"fan",0.15
"guests",0.15
"nice",0.15
"staff",0.15
"wi-fi",0.15
"wifi",0.15
"deluxe",0.14
"dorm",0.14
"en-suite",0.14
"furnished",0.14
"night",0.14
"offers",0.14
"price",0.14
"prices",0.14
"swimming",0.14
"air-con",0.13
"cost",0.13
"floor",0.13
"good",0.13
"helpful",0.13
"hot",0.13
"laundry",0.13
"next",0.13
"owner",0.13
"satellite",0.13
"wireless",0.13
"ask",0.12
"available",0.12
"balconies",0.12
"basic",0.12
"food",0.12
"front",0.12
"hostel",0.12
"house",0.12
"lcd",0.12
"person",0.12
"rates",0.12
"rooftop",0.12
"simple",0.12
"style",0.12
"suite",0.12
"suites",0.12
"terrace",0.12
"toilet",0.12
"triple",0.12
"view",0.12
"air",0.11
"bed",0.11
"bit",0.11
"cheap",0.11
"decent",0.11
"decorated",0.11
"ensuite",0.11
"excellent",0.11
"expensive",0.11
"facilities",0.11
"fully",0.11
"hotels",0.11
"kitchen",0.11
"modern",0.11
"place",0.11
"right",0.11
"standard",0.11
"star",0.11
"start",0.11
"views",0.11
"walk",0.11
"amenities",0.1
"apartments",0.1
"arrange",0.1
"bar",0.1
"book",0.1
"buffet",0.1
"building",0.1
"bungalows",0.1
"charge",0.1
"cheaper",0.1
"dishes",0.1
"doubles",0.1
"dvd",0.1
"fitness",0.1
"garden",0.1
"hair",0.1
"included",0.1
"lobby",0.1
"luxury",0.1
"massage",0.1
"meals",0.1
"pay",0.1
"pension",0.1
"quiet",0.1
"reasonable",0.1
"stay",0.1
"value",0.1
"vegetarian",0.1
"-room",0.09
"ac",0.09
"attached",0.09
"bath",0.09
"booking",0.09
"boutique",0.09
"business",0.09
"buy",0.09
"coffee",0.09
"conference",0.09
"costs",0.09
"desk",0.09
"dining",0.09
"dinner",0.09
"dorms",0.09
"entrance",0.09
"extra",0.09
"floors",0.09
"fridge",0.09
"jacuzzi",0.09
"just",0.09
"leave",0.09
"lodge",0.09
"meeting",0.09
"menu",0.09
"noisy",0.09
"offer",0.09
"offering",0.09
"opposite",0.09
"owners",0.09
"renovated",0.09
"resort",0.09
"rs",0.09
"sell",0.09
"set",0.09
"showers",0.09
"table",0.09
"taxi",0.09
"try",0.09
"usd",0.09
"want",0.09
"'''hotel",0.08
"'s",0.08
"advance",0.08
"around",0.08
"back",0.08
"behind",0.08
"better",0.08
"block",0.08
"blocks",0.08
"booked",0.08
"buses",0.08
"cheapest",0.08
"check-",0.08
"close",0.08
"cold",0.08
"cosy",0.08
"courtyard",0.08
"day",0.08
"dormitory",0.08
"drinks",0.08
"driver",0.08
"facing",0.08
"family",0.08
"full",0.08
"hr",0.08
"inside",0.08
"little",0.08
"loud",0.08
"lounge",0.08
"lunch",0.08
"make",0.08
"mid-range",0.08
"might",0.08
"mini",0.08
"motorbike",0.08
"office",0.08
"open",0.08
"option",0.08
"options",0.08
"quality",0.08
"reception",0.08
"rent",0.08
"sauna",0.08
"season",0.08
"selection",0.08
"serves",0.08
"side",0.08
"singles",0.08
"speaks",0.08
"taxis",0.08
"ticket",0.08
"top",0.08
"tour",0.08
"tours",0.08
"twin",0.08
"will",0.08
"atms",0.07
"away",0.07
"bedroom",0.07
"best",0.07
"big",0.07
"ceiling",0.07
"choice",0.07
"come",0.07
"complex",0.07
"corner",0.07
"couple",0.07
"depending",0.07
"door",0.07
"family-run",0.07
"find",0.07
"fresh",0.07
"get",0.07
"going",0.07
"guide",0.07
"hotel's",0.07
"hour",0.07
"including",0.07
"meters",0.07
"min",0.07
"money",0.07
"morning",0.07
"mosquito",0.07
"nicely",0.07
"non",0.07
"outside",0.07
"plaza",0.07
"quite",0.07
"rate",0.07
"relaxed",0.07
"roof",0.07
"selling",0.07
"starting",0.07
"tasty",0.07
"toilets",0.07
"two",0.07
"villa",0.07
"wait",0.07
