"","route"
"expwy",0.2
"state",0.17
"interstate",0.16
"phone",0.16
"routes",0.14
"exit",0.13
"inn",0.13
"ohio",0.13
"york",0.13
"boston",0.12
"new",0.12
"county",0.11
"east",0.11
"runs",0.11
"street",0.1
"us",0.1
"commuter",0.09
"follows",0.09
"jr",0.09
"miles",0.09
"passes",0.09
"washington",0.09
"west",0.09
"amtrak",0.08
"diner",0.08
"downtown",0.08
"east-west",0.08
"jersey",0.08
"motel",0.08
"pa",0.08
"shinkansen",0.08
"south",0.08
"sr",0.08
"st",0.08
"transit",0.08
"along",0.07
"brook",0.07
"historic",0.07
"line",0.07
"north",0.07
"onto",0.07
"rail",0.07
"road",0.07
"scenic",0.07
"service",0.07
"stops",0.07
"store",0.07
"township",0.07
"turnpike",0.07
"valley",0.07
"via",0.07
