"","rv"
"campground",0.23
"motel",0.18
"hwy",0.16
"tent",0.16
"nd",0.14
"phone",0.13
"inn",0.12
"miles",0.12
"pines",0.12
"ranch",0.12
"highway",0.11
"pets",0.11
"cabin",0.1
"cabins",0.1
"park",0.1
"primitive",0.1
"antique",0.09
"ave",0.09
"camping",0.09
"rodeo",0.09
"steakhouse",0.09
"us",0.09
"campsites",0.08
"creek",0.08
"elevation",0.08
"full",0.08
"ne",0.08
"railroad",0.08
"rd",0.08
"sites",0.08
"bed",0.07
"camp",0.07
"canyon",0.07
"ghost",0.07
"historic",0.07
"labor",0.07
"north",0.07
"st",0.07
